,,,,Overall,,,,,,,PP,,SH,,Defense,
Rickard Rakell,PIT,C,72,20,23,43,-1,19,169,7,4,6,0,0,121,30
Gabriel Landeskog,COL,LW,75,20,33,53,-5,69,169,2,4,10,1,2,141,66
Jonathan Huberdeau,CGY,LW,76,20,39,59,17,43,174,2,4,9,1,0,53,36
Evander Kane,EDM,LW,65,20,15,35,-14,91,271,3,2,4,1,0,171,23
Evgeny Kuznetsov,WAS,C,82,20,57,77,27,32,193,4,5,13,0,0,73,29
Nino Niederreiter,NSH,RW,82,20,23,43,9,36,159,1,2,3,0,0,129,19
Jakob Silfverberg,ANH,RW,82,20,19,39,8,32,215,2,2,2,0,1,87,58
Shea Weber,VGK,D,78,20,31,51,-7,27,189,1,14,12,0,1,169,160
P.A. Parenteau,FA,RW,77,20,21,41,0,68,168,3,7,4,0,0,48,26
Patrick Sharp,FA,LW,76,20,35,55,-3,27,226,6,7,17,0,0,76,24
Jason Chimera,FA,LW,82,20,20,40,0,22,165,3,4,5,2,0,103,13
Frans Nielsen,FA,C,81,20,32,52,1,12,181,2,7,13,2,0,35,92
Jordan Staal,CAR,C,82,20,28,48,6,34,151,4,6,4,0,2,165,31
Nicklas Backstrom,WAS,C,75,20,50,70,17,36,129,4,3,27,0,0,51,50
Artem Anisimov,FA,C,77,20,22,42,8,12,121,1,5,5,3,1,53,40
Milan Lucic,CGY,LW,81,20,35,55,26,79,124,5,2,6,0,0,244,22
Dustin Byfuglien,FA,D,81,19,34,53,4,119,247,6,3,14,1,1,222,105
Lee Stempniak,FA,RW,82,19,32,51,4,38,146,4,3,9,1,0,113,34
Joe Thornton,FA,C,82,19,63,82,25,54,121,6,8,21,0,0,48,30
Brendan Gallagher,MON,RW,53,19,21,40,13,24,173,0,7,3,0,0,43,25
Joe Colborne,FA,C,73,19,25,44,-9,27,100,2,3,2,0,0,122,28
Justin Abdelkader,FA,LW,82,19,23,42,-16,120,155,4,6,7,0,0,207,44
Jean-Gabriel Pageau,NYI,C,82,19,24,43,17,26,133,2,1,1,7,2,166,60
Leo Komarov,FA,LW,67,19,17,36,-12,40,130,2,4,3,1,0,283,27
Leon Draisaitl,EDM,C,72,19,32,51,-2,20,133,2,5,4,0,0,38,18
Sam Bennett,FLA,LW,77,18,18,36,-11,37,136,2,3,5,0,0,110,32
Max Domi,CHI,C,81,18,34,52,3,72,156,0,3,12,0,1,34,25
Robby Fabbri,DET,LW,72,18,19,37,-2,25,114,3,2,6,0,0,51,9
Jussi Jokinen,FA,LW,81,18,42,60,25,42,153,1,5,7,1,1,43,50
Thomas Vanek,FA,LW,74,18,23,41,-10,22,146,5,6,8,0,0,18,17
Troy Brouwer,FA,RW,82,18,21,39,2,62,142,4,7,3,0,0,200,52
David Krejci,BOS,C,72,17,46,63,4,32,143,3,4,14,0,3,43,57
Brandon Dubinsky,FA,C,75,17,31,48,-16,71,158,3,5,5,0,0,235,40
Bryan Little,ARI,C,57,17,25,42,-13,12,127,2,2,10,2,0,48,22
Chris Kunitz,FA,LW,80,17,23,40,29,41,150,1,2,4,0,0,264,33
Mikko Koivu,FA,C,82,17,39,56,6,40,141,2,10,10,1,1,38,57
Alexander Steen,FA,LW,67,17,35,52,3,48,172,2,2,19,1,0,50,35
Antoine Vermette,FA,C,76,17,21,38,-14,93,123,2,6,10,1,0,55,57
Mikkel Boedker,FA,LW,80,17,34,51,-33,12,166,5,3,16,0,0,51,31
Nazem Kadri,CGY,C,76,17,28,45,-15,73,260,2,4,10,0,0,148,43
Marcus Johansson,WAS,LW,74,17,29,46,12,16,132,7,6,8,0,0,38,24
Gustav Nyquist,CLS,RW,82,17,26,43,-2,34,161,3,7,5,0,0,58,19
Shayne Gostisbehere,ARI,D,64,17,29,46,8,24,152,5,8,14,0,0,27,59
Andre Burakovsky,SEA,LW,79,17,21,38,4,12,126,1,0,4,0,0,37,24
Bo Horvat,VAN,C,82,16,24,40,-30,18,155,4,4,8,0,0,69,53
Ondrej Palat,NJ,LW,62,16,24,40,10,20,117,4,1,6,2,1,108,39
Connor McDavid,EDM,C,45,16,32,48,-1,18,105,5,3,11,0,0,12,10
Justin Faulk,STL,D,64,16,21,37,-22,27,184,4,12,5,0,0,109,65
Calle Jarnkrok,TOR,C,81,16,14,30,1,14,125,4,3,1,1,0,35,24
Cody Eakin,FA,C,82,16,19,35,3,42,132,1,2,2,3,1,98,47
Erik Karlsson,SJ,D,82,16,66,82,-2,50,248,3,1,25,0,0,84,175
Jiri Hudler,FA,RW,72,16,30,46,-1,27,109,1,3,7,0,0,28,7
Pavel Datsyuk,FA,C,66,16,33,49,7,14,181,1,8,12,0,0,70,33
Matt Cullen,FA,C,82,16,16,32,5,20,118,4,0,0,3,3,40,41
Kris Letang,PIT,D,71,16,51,67,9,66,218,2,5,22,0,3,135,122
Michael Frolik,FA,LW,64,15,17,32,1,24,155,4,0,1,2,2,49,44
Cal Clutterbuck,NYI,RW,77,15,8,23,7,22,80,5,0,0,2,1,288,34
Logan Couture,SJ,C,52,15,21,36,2,20,137,4,5,10,0,0,29,38
Kris Versteeg,FA,LW,77,15,23,38,0,45,156,4,2,7,0,0,20,32
Rick Nash,FA,LW,60,15,21,36,8,30,183,4,4,2,0,1,69,24
Matt Beleskey,FA,LW,80,15,22,37,6,65,168,1,3,4,0,0,260,44
Nick Bjugstad,ARI,C,67,15,19,34,-8,41,171,3,6,9,0,0,87,28
Tanner Pearson,VAN,LW,79,15,21,36,11,18,137,4,2,2,0,0,104,34
Sven Baertschi,FA,LW,69,15,13,28,-14,14,108,1,2,5,0,0,30,36
Anders Lee,NYI,C,80,15,21,36,-2,51,183,3,8,6,0,0,164,31
Mattias Janmark,EDM,C,73,15,14,29,12,16,108,3,0,1,1,0,4,21
Aaron Ekblad,FLA,D,78,15,21,36,18,41,182,4,3,6,0,0,87,59
Nikolaj Ehlers,WPG,LW,72,15,23,38,3,21,167,0,4,7,0,0,29,25
David Pastrnak,BOS,RW,51,15,11,26,3,20,108,2,0,1,0,0,52,15
Erik Haula,NJ,C,76,14,20,34,21,24,99,2,0,1,2,2,57,55
Vladislav Namestnikov,TB,C,80,14,21,35,17,45,106,2,1,3,0,0,49,33
Carl Hagelin,WAS,LW,80,14,25,39,8,32,178,6,0,0,0,2,84,33
Alex Killorn,TB,C,81,14,26,40,14,44,154,3,3,3,0,1,76,23
Tobias Rieder,FA,RW,82,14,23,37,-21,10,189,1,2,6,0,1,54,43
Andrew Shaw,FA,C,78,14,20,34,11,69,153,2,4,4,0,0,148,21
Riley Sheahan,FA,C,81,14,11,25,-8,12,128,2,3,1,1,0,72,40
Ryan Johansen,NSH,C,80,14,46,60,6,61,185,2,4,18,0,0,115,30
Kevin Hayes,PHI,C,79,14,22,36,4,30,133,3,3,3,0,0,59,23
Devante Smith-Pelly,FA,RW,64,14,11,25,-3,30,94,5,0,1,0,0,105,23
Roman Josi,NSH,D,81,14,47,61,-3,43,198,3,6,18,1,1,59,185
Tyler Johnson,CHI,C,69,14,24,38,4,20,167,7,3,10,0,0,46,25
Brandon Pirri,FA,C,61,14,15,29,-4,30,128,3,3,7,0,0,66,14
Drew Doughty,LA,D,82,14,37,51,24,52,197,3,9,15,1,1,125,105
Dale Weise,FA,RW,71,14,13,27,4,24,136,1,3,3,0,0,127,26
Tomas Fleischmann,FA,LW,76,14,11,25,-8,32,123,3,0,1,1,0,40,19
Michael Cammalleri,FA,LW,42,14,24,38,15,18,101,1,3,7,0,0,15,13
Tomas Plekanec,FA,C,82,14,40,54,4,36,189,1,1,12,0,0,60,46
Brent Seabrook,TB,D,81,14,35,49,6,32,167,3,6,19,0,0,121,150
Travis Zajac,FA,C,74,14,28,42,3,25,111,2,6,11,2,1,65,41
Benoit Pouliot,FA,LW,55,14,22,36,-6,30,109,0,5,4,1,0,35,25
Kevin Shattenkirk,ANH,D,72,14,30,44,-14,51,180,1,6,20,0,1,82,113
James van Riemsdyk,PHI,LW,40,14,15,29,3,6,129,0,5,4,0,0,52,7
Teddy Purcell,FA,RW,76,14,29,43,-11,12,149,2,2,8,0,1,31,15
Darren Helm,COL,C,77,13,13,26,-2,32,165,3,0,0,0,0,115,26
Kyle Turris,FA,C,57,13,17,30,-15,32,122,2,3,5,0,1,44,31
Lars Eller,WAS,C,79,13,13,26,-13,28,149,2,1,0,1,0,111,36
Martin Hanzal,FA,C,64,13,28,41,-5,77,141,2,3,10,1,0,126,28
Ryan Getzlaf,FA,C,77,13,50,63,14,55,178,5,6,16,0,1,108,61
Brian Boyle,FA,C,76,13,7,20,-7,57,117,4,2,1,2,0,115,48
Ales Hemsky,FA,RW,75,13,26,39,3,20,155,0,1,4,0,0,25,26
Eric Staal,FLA,C,83,13,26,39,-2,34,199,0,1,6,0,0,74,33
Radim Vrbata,FA,RW,63,13,14,27,-30,12,199,0,5,4,0,0,15,12
Henrik Zetterberg,FA,LW,82,13,37,50,-15,24,214,3,2,20,0,0,54,26
Marian Hossa,FA,RW,64,13,20,33,10,24,191,2,2,7,3,1,37,33
Mike Fisher,FA,C,70,13,10,23,-14,29,98,2,3,2,0,1,142,74
Tyson Barrie,EDM,D,78,13,36,49,-16,31,172,5,3,18,1,1,37,84
Antoine Roussel,FA,LW,80,13,16,29,11,123,111,6,0,1,0,1,123,58
Jimmy Hayes,FA,RW,75,13,16,29,-12,60,127,0,3,2,0,0,128,15
Mikael Granlund,NSH,C,82,13,31,44,-12,20,160,3,2,9,1,0,86,57
Ryan Spooner,FA,C,80,13,36,49,-9,35,162,4,6,11,0,0,53,19
Oscar Lindberg,FA,C,68,13,15,28,12,43,114,2,1,2,0,0,132,36
Jason Zucker,PIT,LW,71,13,10,23,-4,20,158,1,0,2,1,1,83,33
Teuvo Teravainen,CAR,C,78,13,22,35,-2,20,136,3,2,7,0,1,24,31
Michael Raffl,FA,LW,82,13,18,31,9,30,132,4,1,1,0,0,135,34
Ryan Nugent-Hopkins,EDM,LW,55,12,22,34,-9,18,108,1,4,7,0,0,39,36
Dougie Hamilton,NJ,D,82,12,31,43,-14,46,190,3,5,11,0,0,78,106
Tyler Bozak,FA,C,57,12,23,35,-9,18,99,1,3,7,0,0,46,24
Josh Bailey,NYI,LW,81,12,20,32,-7,22,105,2,4,1,0,0,45,25
Patrick Maroon,TB,LW,72,12,15,27,-7,88,104,1,5,3,0,0,151,10
Marian Gaborik,FA,RW,54,12,10,22,-6,20,142,3,1,3,0,0,29,17
Brian Gionta,FA,RW,79,12,21,33,-5,12,169,2,1,5,0,0,46,36
Vernon Fiddler,FA,C,82,12,10,22,5,31,98,0,1,1,2,2,42,39
Blake Comeau,FA,LW,81,12,24,36,-9,58,142,3,2,6,2,0,173,35
Carl Soderberg,FA,C,82,12,39,51,-7,32,163,0,3,11,1,1,27,71
David Perron,DET,RW,71,12,24,36,-1,62,147,1,4,8,0,0,142,23
Nick Foligno,BOS,LW,72,12,25,37,-14,53,149,2,0,13,0,0,152,46
Shawn Matthias,FA,C,71,12,16,28,-17,20,101,2,0,0,0,1,68,39
Torrey Mitchell,FA,C,71,11,8,19,2,51,69,3,0,0,1,2,67,38
David Jones,FA,RW,75,11,7,18,-7,10,84,2,1,0,0,0,147,33
Ryan White,FA,RW,73,11,5,16,-9,101,88,0,3,0,0,0,208,51
Jakub Voracek,CLS,LW,73,11,44,55,-5,38,213,2,1,22,0,0,51,34
Erik Johnson,COL,D,73,11,16,27,-19,50,175,0,3,3,2,1,126,197
Brad Richardson,FA,C,82,11,20,31,8,46,117,3,0,0,0,0,57,53
Joffrey Lupul,FA,LW,46,11,3,14,-10,12,102,2,2,2,0,0,58,14
Henrik Sedin,FA,C,74,11,44,55,0,24,99,0,5,15,1,0,9,19
Dustin Brown,FA,RW,82,11,17,28,-5,30,218,0,2,1,0,1,234,20
Jason Pominville,FA,RW,75,11,25,36,10,12,187,2,3,7,0,0,31,31
Patrick Eaves,FA,RW,54,11,6,17,-5,27,86,2,5,2,0,0,70,20
David Desharnais,EDM,C,65,11,18,29,-6,20,90,4,3,2,0,0,31,25
Colton Sceviour,FA,RW,71,11,12,23,6,21,125,1,1,2,0,1,71,52
Matt Calvert,FA,LW,73,11,13,24,1,51,114,1,1,0,0,0,91,46
Paul Byron,MON,C,62,11,7,18,-9,11,50,2,0,0,3,2,112,25
Matt Read,TOR,RW,79,11,15,26,-5,27,127,2,2,5,0,0,81,60
Jared Spurgeon,MIN,D,77,11,18,29,11,14,122,2,5,8,0,3,51,157
Joonas Donskoi,SEA,RW,76,11,25,36,4,20,107,1,3,5,0,0,31,46
Sean Couturier,PHI,C,63,11,28,39,8,30,119,1,2,5,0,1,31,30
Elias Lindholm,CGY,RW,82,11,28,39,-23,24,176,3,2,14,0,0,112,45
Melker Karlsson,FA,C,65,10,9,19,5,16,96,1,0,0,0,0,76,48
Cody Ceci,EDM,D,75,10,16,26,9,18,116,2,0,2,0,0,70,130
Hampus Lindholm,BOS,D,80,10,18,28,7,40,149,1,4,11,1,0,68,115
Matt Dumba,MIN,D,81,10,16,26,1,38,152,3,6,6,0,0,83,56
John Klingberg,ANH,D,76,10,48,58,22,30,171,4,2,20,0,0,44,68
Joakim Nordstrom,FA,C,71,10,14,24,1,12,81,1,0,0,1,0,98,32
Jesper Fast,CAR,RW,79,10,20,30,9,18,75,3,0,0,0,0,109,55
Johan Larsson,FA,C,74,10,7,17,-4,27,95,5,1,3,0,0,113,33
Victor Hedman,TB,D,78,10,37,47,21,46,180,0,1,10,0,1,62,132
Ryan Ellis,PHI,D,79,10,22,32,13,35,152,2,3,4,1,0,61,100
Marcus Foligno,MIN,LW,75,10,13,23,4,79,81,2,0,2,2,0,193,44
Matt Martin,NYI,LW,80,10,9,19,2,119,86,1,0,0,0,0,365,24
Alec Martinez,VGK,D,78,10,21,31,16,40,124,4,4,9,0,1,164,182
Brad Richards,FA,C,68,10,18,28,4,8,164,1,4,10,0,0,16,12
Vincent Lecavalier,FA,C,49,10,8,18,0,22,67,0,6,1,0,0,62,22
Dan Boyle,FA,D,74,10,14,24,0,30,95,0,3,7,0,0,66,105
John Mitchell,FA,C,71,10,11,21,-7,52,101,3,0,1,0,0,85,65
Lauri Korpikoski,FA,LW,71,10,12,22,-17,10,88,2,2,4,1,0,100,56
Ryan Callahan,FA,RW,73,10,18,28,-5,45,156,1,2,2,0,0,164,71
Mark Letestu,FA,C,82,10,15,25,-21,10,107,0,3,9,2,1,68,33
Patrik Berglund,FA,C,42,10,5,15,1,16,80,5,4,0,0,0,48,17
Paul Stastny,CAR,C,64,10,39,49,3,26,103,2,2,12,0,0,32,40
Michael Grabner,FA,RW,80,9,9,18,-4,12,116,2,0,0,1,0,41,55
Anton Stralman,BOS,D,73,9,25,34,16,20,127,0,1,11,0,0,99,73
Ryan McDonagh,NSH,D,73,9,25,34,26,22,113,0,2,7,0,1,98,138
Nikolay Kulemin,FA,RW,81,9,13,22,13,22,92,3,0,0,0,0,107,50
Riley Nash,FA,C,64,9,13,22,-5,18,76,1,2,4,0,0,58,21
Mike Santorelli,FA,C,70,9,9,18,-4,8,81,1,1,2,0,0,28,20
Alex Burrows,FA,RW,79,9,13,22,-13,49,135,0,2,4,0,0,81,33
Mikhail Grabovski,FA,C,58,9,16,25,3,33,83,2,1,2,0,0,28,26
Andrew Cogliano,COL,LW,82,9,23,32,2,28,131,3,0,0,2,1,124,27
Zdeno Chara,FA,D,80,9,28,37,12,71,158,3,1,9,0,2,134,123
Johnny Boychuk,FA,D,70,9,16,25,17,31,165,1,1,4,0,0,149,140
Kevin Klein,FA,D,69,9,17,26,16,19,69,4,0,1,0,0,117,155
Duncan Keith,FA,D,67,9,34,43,13,26,130,4,4,14,0,1,16,116
Mathieu Perreault,FA,C,71,9,32,41,-11,36,133,1,6,9,0,0,83,33
Viktor Stalberg,FA,LW,75,9,11,20,6,22,125,0,0,0,0,0,144,33
Tyler Myers,VAN,D,73,9,18,27,6,72,140,0,0,2,0,1,54,95
Nick Bonino,SJ,C,63,9,20,29,13,31,97,0,2,0,1,0,22,67
Jori Lehtera,FA,C,79,9,25,34,12,38,83,3,1,8,0,0,43,26
Peter Holland,FA,C,65,9,18,27,-16,28,138,1,5,6,0,0,78,19
Brett Connolly,FA,RW,71,9,16,25,-1,20,95,2,2,3,0,0,137,36
Sami Vatanen,FA,D,71,9,29,38,8,20,140,2,4,15,0,0,85,105
Andrej Nestrasil,FA,C,55,9,14,23,4,8,105,1,2,0,0,0,27,13
Morgan Rielly,TOR,D,82,9,27,36,-17,28,167,0,2,6,1,0,58,122
William Karlsson,VGK,C,81,9,11,20,-9,6,108,1,0,0,0,0,40,48
Rasmus Ristolainen,PHI,D,82,9,32,41,-21,33,202,1,4,17,0,0,139,137
Valeri Nichushkin,COL,LW,79,9,20,29,2,12,139,1,1,1,0,0,68,33
Jordan Martinook,CAR,LW,81,9,15,24,-9,18,109,2,0,1,1,1,52,40
Colton Parayko,STL,D,79,9,24,33,28,29,165,3,3,4,0,0,102,122
Andreas Athanasiou,CHI,C,37,9,5,14,1,5,53,1,0,0,1,0,17,8
Jared McCann,SEA,C,69,9,9,18,-6,32,106,1,1,2,0,0,45,19
Sergey Kalinin,FA,LW,78,8,7,15,-9,33,70,2,3,0,0,0,146,30
Viktor Arvidsson,LA,LW,56,8,8,16,-8,35,139,3,1,0,0,0,27,35
Frank Vatrano,ANH,LW,39,8,3,11,-3,14,99,1,0,0,0,0,61,23
Alexander Wennberg,SEA,C,69,8,32,40,-1,2,97,1,1,11,0,0,32,46
Danny DeKeyser,FA,D,78,8,12,20,2,44,72,3,0,0,0,0,88,107
Matt Nieto,SJ,LW,68,8,9,17,-8,10,90,1,0,1,2,0,33,33
Reid Boucher,FA,RW,39,8,11,19,-13,6,74,4,2,4,0,0,32,14
Andy Andreoff,NYI,C,60,8,2,10,1,76,46,1,0,0,0,0,82,11
Ryan Strome,ANH,C,71,8,20,28,-9,28,132,0,1,3,0,0,77,19
Luke Glendening,DAL,C,81,8,13,21,4,46,88,3,0,0,0,0,143,71
Nail Yakupov,FA,RW,60,8,15,23,-16,24,127,1,1,5,0,0,54,21
Bobby Farnham,FA,LW,53,8,2,10,-2,97,50,0,0,0,0,0,93,19
JT Brown,FA,RW,78,8,14,22,16,59,140,0,0,0,0,2,103,40
Alex Chiasson,FA,RW,77,8,6,14,2,45,88,1,2,0,1,0,103,28
Mattias Ekholm,NSH,D,82,8,27,35,14,44,114,3,1,4,1,1,67,106
Dmitry Orlov,WAS,D,82,8,21,29,8,26,90,3,0,2,0,0,121,61
Jaden Schwartz,SEA,LW,33,8,14,22,8,8,63,1,1,4,0,0,26,21
Andrew Desjardins,FA,C,77,8,5,13,-8,30,96,1,0,0,0,0,102,49
Casey Cizikas,NYI,C,80,8,21,29,4,31,84,4,0,0,1,2,158,62
Jake Muzzin,TOR,D,82,8,32,40,7,64,203,1,1,12,0,1,197,135
John Carlson,WAS,D,56,8,31,39,16,14,124,4,2,12,0,1,46,114
Jay Beagle,FA,C,57,8,9,17,0,24,74,1,0,0,0,0,55,24
Chris Terry,FA,LW,68,8,3,11,-12,16,78,0,0,0,0,0,82,21
Ryan Suter,DAL,D,82,8,43,51,10,30,188,2,3,18,1,1,69,142
Brad Boyes,FA,RW,60,8,16,24,-6,12,85,1,2,3,0,0,20,17
Eric Fehr,FA,RW,55,8,6,14,0,19,74,2,0,1,4,0,60,45
Francois Beauchemin,FA,D,82,8,26,34,-7,38,127,2,2,9,0,2,78,256
Alex Tanguay,FA,LW,70,8,27,35,8,32,71,1,1,8,0,1,22,36
Marc-Edouard Vlasic,SJ,D,67,8,31,39,15,48,116,0,2,8,0,2,47,129
Jack Skille,FA,RW,74,8,6,14,-4,11,106,0,0,0,0,0,97,25
Valtteri Filppula,FA,C,76,8,23,31,-6,46,101,2,1,7,1,0,30,25
Trevor Lewis,CGY,C,75,8,8,16,-10,20,167,1,0,1,1,0,168,28
Sam Gagner,WPG,C,53,8,8,16,4,25,86,2,2,1,0,0,17,15
