,,,,Overall,,,,,,,PP,,SH,,Defense,
Filip Forsberg,NSH,RW,69,42,42,84,12,22,226,8,10,17,0,0,112,48
Andre Burakovsky,SEA,LW,80,22,39,61,12,18,149,5,4,7,0,0,49,34
Nicolas Roy,VGK,C,78,15,24,39,12,51,145,3,2,3,0,1,85,34
Frederick Gaudreau,MIN,C,76,14,30,44,12,8,132,4,1,2,0,2,48,43
Mathieu Joseph,OTT,RW,69,12,18,30,12,29,86,3,0,0,2,2,106,27
David Kampf,TOR,RW,82,11,15,26,12,20,102,1,0,0,2,2,80,26
Mike Matheson,MON,D,74,11,20,31,12,33,140,5,0,2,0,0,97,81
Teddy Blueger,PIT,C,65,9,19,28,12,10,93,0,0,0,1,1,87,32
Radim Zohorna,CGY,RW,17,2,4,6,12,4,9,0,0,0,0,0,23,3
Joe Pavelski,DAL,RW,82,27,54,81,11,14,216,2,12,13,0,0,104,69
Brandon Saad,STL,LW,78,24,25,49,11,10,158,1,8,5,1,2,20,20
Ryan O'Reilly,STL,C,78,21,37,58,11,12,168,0,9,7,0,1,20,38
Taylor Hall,BOS,LW,81,20,41,61,11,42,217,3,7,8,0,0,55,36
Seth Jarvis,CAR,RW,68,17,23,40,11,18,110,4,2,4,0,0,69,21
Jordan Staal,CAR,C,78,17,19,36,11,18,146,2,1,1,0,0,212,29
Alex Newhook,COL,C,71,13,20,33,11,12,113,5,3,3,0,0,40,36
Nicolas Aube-Kubel,WAS,C,74,11,12,23,11,47,87,2,0,0,0,0,140,18
Nikita Zadorov,CGY,D,74,4,18,22,11,77,106,0,0,0,0,0,181,49
Jordan Kyrou,STL,RW,74,27,48,75,10,20,188,4,5,14,0,1,6,23
Evan Bouchard,EDM,D,81,12,31,43,10,28,205,1,2,5,0,1,80,112
Max Domi,CHI,C,72,11,28,39,10,55,104,1,0,4,0,0,24,9
Nic Dowd,WAS,C,64,10,14,24,10,44,90,0,0,1,1,0,139,53
Logan O'Connor,COL,C,81,8,16,24,10,38,127,1,0,0,1,3,100,59
Trent Frederic,BOS,C,60,8,10,18,10,57,100,1,0,0,0,0,119,22
Quinn Hughes,VAN,D,76,8,60,68,10,28,150,1,0,31,0,2,19,56
Michael McCarron,NSH,C,51,7,7,14,10,70,51,2,0,1,1,0,116,31
Hampus Lindholm,BOS,D,71,5,22,27,10,46,142,1,1,4,0,1,70,92
Jacob Middleton,MIN,D,66,4,10,14,10,82,73,0,0,1,0,1,118,124
Carl Hagelin,WAS,LW,53,3,11,14,10,20,71,1,0,0,0,1,32,12
Brayden McNabb,VGK,D,69,3,15,18,10,42,85,0,0,0,0,1,154,179
Dylan DeMelo,WPG,D,76,1,12,13,10,28,78,0,0,0,1,1,113,108
Corey Perry,TB,RW,82,19,21,40,9,66,153,4,6,2,0,0,73,28
Tanner Pearson,VAN,LW,68,14,20,34,9,30,159,2,1,2,0,0,84,41
Brett Howden,VGK,C,47,9,11,20,9,12,39,2,0,0,0,2,62,36
Kaapo Kakko,NYR,RW,43,7,11,18,9,10,62,2,1,1,0,0,8,15
Travis Sanheim,PHI,D,80,7,24,31,9,34,123,1,0,0,0,0,64,142
Matt Dumba,MIN,D,57,7,20,27,9,47,116,1,1,4,0,0,114,84
Rasmus Sandin,TOR,D,51,5,11,16,9,4,46,3,0,3,0,0,88,39
Zach Aston-Reese,TOR,C,69,5,10,15,9,28,78,0,0,0,0,0,231,42
Jonas Brodin,MIN,D,73,5,25,30,9,18,126,1,1,6,0,1,42,126
Travis Dermott,VAN,D,60,2,5,7,9,14,46,1,0,0,0,0,55,46
Alex Ovechkin,WAS,LW,77,50,40,90,8,18,334,5,16,13,1,0,155,25
David Perron,DET,RW,67,27,30,57,8,48,177,2,11,15,0,0,80,11
Max Pacioretty,CAR,LW,39,19,18,37,8,33,148,4,4,8,0,0,30,21
Maxim Mamin,FA,LW,40,7,7,14,8,13,49,0,0,0,0,0,59,17
Adam Ruzicka,CGY,C,28,5,5,10,8,8,33,0,0,0,0,0,24,8
Cody Ceci,EDM,D,78,5,23,28,8,14,102,0,0,0,0,3,117,121
Zdeno Chara,FA,D,72,2,12,14,8,85,81,0,0,0,0,0,125,90
Marcus Pettersson,PIT,D,72,2,17,19,8,38,83,0,0,0,0,0,122,74
Vladimir Tarasenko,STL,RW,75,34,48,82,7,32,230,9,5,17,0,1,83,45
Evgeny Kuznetsov,WAS,C,79,24,54,78,7,44,208,4,8,19,3,2,42,25
Bryan Rust,PIT,RW,60,24,34,58,7,14,180,1,9,12,0,0,43,24
Yakov Trenin,NSH,C,80,17,7,24,7,46,136,2,0,0,0,0,191,33
Vasili Podkolzin,VAN,RW,79,14,12,26,7,26,115,3,2,1,0,0,84,33
Alex Pietrangelo,VGK,D,80,13,31,44,7,42,227,0,3,10,1,3,66,164
Andreas Athanasiou,CHI,C,28,11,6,17,7,4,71,3,0,1,0,0,11,10
Carson Soucy,SEA,D,64,10,11,21,7,47,97,1,0,2,1,1,118,73
William Carrier,VGK,LW,63,9,11,20,7,34,120,0,0,0,0,0,159,24
Mark Stone,VGK,RW,37,9,21,30,7,8,71,2,3,3,0,1,19,24
Bowen Byram,COL,D,30,5,12,17,7,12,49,2,1,0,0,0,53,26
Ben Hutton,VGK,D,58,3,10,13,7,32,78,0,0,0,0,0,49,72
Kris Russell,FA,D,31,2,7,9,7,4,34,1,0,0,0,0,33,68
Erik Cernak,TB,D,55,1,12,13,7,46,86,0,0,0,0,0,165,73
Matt Duchene,NSH,C,78,43,43,86,6,38,228,6,16,13,0,0,31,28
Jake DeBrusk,BOS,LW,77,25,17,42,6,10,184,8,3,1,0,0,62,25
J.T. Compher,COL,C,70,18,15,33,6,25,102,0,4,2,1,0,31,55
Danton Heinen,PIT,C,76,18,15,33,6,16,138,1,3,1,0,0,66,33
Shea Theodore,VGK,D,78,14,38,52,6,24,205,5,1,11,0,0,37,97
Brian Boyle,FA,C,66,11,10,21,6,27,87,1,0,0,1,0,95,39
Mikhail Sergachev,TB,D,78,7,31,38,6,59,149,1,1,6,0,1,139,123
Riley Sheahan,FA,C,69,4,13,17,6,2,69,0,0,0,0,2,16,28
Travis Hamonic,OTT,D,43,4,6,10,6,14,82,0,0,0,0,0,73,93
Brendan Smith,NJ,D,45,4,4,8,6,36,63,1,0,0,0,0,73,40
Nicolas Hague,VGK,D,52,4,10,14,6,38,116,0,0,0,0,0,57,80
Dakota Joshua,VAN,LW,30,3,5,8,6,16,31,2,0,0,0,0,77,10
Alec Martinez,VGK,D,26,3,5,8,6,4,32,0,0,0,0,0,26,68
Gregory Hofmann,FA,LW,24,2,5,7,6,8,33,2,0,0,0,0,23,10
Gabriel Carlsson,WAS,D,38,2,7,9,6,10,18,0,0,0,0,0,27,33
Mikey Anderson,LA,D,57,2,6,8,6,8,58,1,0,0,0,0,133,69
Cal Foote,TB,D,56,2,7,9,6,29,49,0,0,0,0,0,83,57
Derrick Pouliot,FA,D,11,0,4,4,6,4,8,0,0,0,0,0,10,14
Chandler Stephenson,VGK,C,79,21,43,64,5,26,125,3,6,8,1,1,68,44
Martin Necas,CAR,C,78,14,26,40,5,32,159,6,2,2,1,0,55,19
Oskar Sundqvist,DET,C,59,8,15,23,5,29,70,1,0,0,0,0,70,29
Brett Pesce,CAR,D,70,7,21,28,5,39,148,3,1,2,0,0,39,99
Oliver Ekman-Larsson,VAN,D,79,5,24,29,5,52,168,1,3,7,0,0,105,79
Fabian Zetterlund,NJ,LW,14,3,5,8,5,0,36,0,0,0,0,0,16,7
Neal Pionk,WPG,D,77,3,31,34,5,46,140,1,1,11,0,0,185,91
Austin Czarnik,DET,C,17,2,5,7,5,0,14,0,0,0,0,0,3,7
Braden Schneider,NYR,D,43,2,9,11,5,9,25,0,0,1,0,0,60,52
Philippe Myers,TB,D,27,1,3,4,5,12,28,0,0,0,0,0,50,17
Jack Johnson,CHI,D,74,1,8,9,5,42,57,0,0,0,0,1,91,68
Ivan Barbashev,STL,LW,81,26,34,60,4,40,111,2,4,5,1,1,160,28
Ross Colton,TB,LW,79,22,17,39,4,24,159,4,1,4,0,0,153,36
Evgenii Dadonov,MON,RW,78,20,23,43,4,18,177,4,5,3,0,0,65,25
Frank Vatrano,ANH,LW,71,18,14,32,4,22,161,3,1,1,0,0,68,26
Alex Iafallo,LA,C,79,17,20,37,4,8,215,2,3,3,1,1,48,53
Drake Batherson,OTT,RW,46,17,27,44,4,32,110,3,3,11,0,0,89,15
Reilly Smith,VGK,RW,56,16,22,38,4,8,150,3,3,4,2,2,55,23
Ondrej Kase,CAR,RW,50,14,13,27,4,14,119,2,4,4,1,0,29,32
Andreas Johnsson,NJ,LW,71,13,22,35,4,30,114,0,1,0,0,0,64,22
Alex Chiasson,FA,RW,67,13,9,22,4,24,98,2,6,4,0,0,68,18
Ryan Lomberg,FLA,LW,55,9,9,18,4,92,91,1,0,0,0,1,117,7
Brandon Tanev,SEA,LW,30,9,6,15,4,13,51,3,2,0,1,0,98,22
Carl Grundstrom,LA,LW,54,9,6,15,4,26,83,1,0,0,0,0,134,19
Anthony Mantha,WAS,RW,37,9,14,23,4,14,82,0,0,2,0,0,46,18
Victor Rask,FA,C,47,9,12,21,4,2,58,1,0,1,0,0,15,5
Derick Brassard,OTT,C,46,8,11,19,4,16,62,1,1,1,0,0,82,6
Drew Doughty,LA,D,39,7,24,31,4,30,99,1,4,9,0,0,60,53
Noah Cates,PHI,LW,16,5,4,9,4,4,23,1,1,0,0,0,21,6
Esa Lindell,DAL,D,76,4,21,25,4,12,136,0,0,3,1,2,111,148
Alexei Protas,WAS,C,33,3,6,9,4,0,34,0,0,1,0,0,20,12
Nils Lundkvist,DAL,D,25,1,3,4,4,0,32,0,1,1,0,0,15,15
Jesper Froden,SEA,RW,7,1,0,1,4,2,10,0,0,0,0,0,8,5
Bo Horvat,VAN,C,70,31,21,52,3,40,194,4,13,6,1,0,96,45
Jonathan Marchessault,VGK,LW,76,30,36,66,3,36,251,4,5,15,0,0,61,17
Clayton Keller,ARI,C,67,28,35,63,3,28,177,2,5,6,1,1,17,31
Evan Rodrigues,COL,C,82,19,24,43,3,14,243,2,7,1,0,0,89,30
Jack Eichel,VGK,C,34,14,11,25,3,10,133,2,3,5,0,0,45,35
William Karlsson,VGK,C,67,12,23,35,3,10,135,0,1,2,2,0,42,42
Jesperi Kotkaniemi,CAR,LW,66,12,17,29,3,37,81,3,0,4,0,0,74,15
Ryan Nugent-Hopkins,EDM,LW,63,11,39,50,3,16,154,1,1,22,3,2,42,34
Mattias Janmark,EDM,C,67,9,16,25,3,21,89,1,0,0,2,1,19,28
Tyson Barrie,EDM,D,73,7,34,41,3,18,149,0,3,18,0,1,27,73
Miro Heiskanen,DAL,D,70,5,31,36,3,24,156,1,3,8,0,0,52,92
Joe Snively,WAS,LW,12,4,3,7,3,2,21,0,1,0,0,0,2,3
Lucas Carlsson,FLA,D,40,3,6,9,3,10,41,0,0,0,0,0,39,29
Matt Luff,DET,RW,23,3,3,6,3,4,26,1,0,0,0,0,29,4
Nolan Foote,NJ,LW,7,3,1,4,3,0,10,0,0,0,0,0,8,1
Michael Sgarbossa,WAS,LW,10,2,2,4,3,0,11,0,0,0,0,0,7,2
Michael Stone,CGY,D,11,2,4,6,3,4,24,1,1,1,0,0,26,17
Owen Power,BUF,D,8,2,1,3,3,2,10,0,0,0,0,0,1,9
Mason McTavish,ANH,C,9,2,1,3,3,2,12,1,0,1,0,0,8,6
Jack Drury,CAR,C,2,2,0,2,3,2,6,0,0,0,0,0,4,2
Jordan Harris,MON,D,10,1,0,1,3,8,9,0,0,0,0,0,10,11
Kiefer Sherwood,NSH,LW,11,1,1,2,3,0,9,1,0,0,0,0,12,4
Sammy Blais,NYR,LW,14,0,4,4,3,17,17,0,0,0,0,0,37,8
William Lagesson,CAR,D,33,0,5,5,3,13,33,0,0,0,0,0,40,20
Sami Niku,FA,D,13,0,6,6,3,2,14,0,0,1,0,0,6,17
Jacob Moverare,LA,D,19,0,2,2,3,2,15,0,0,0,0,0,16,21
Dylan Samberg,WPG,D,15,0,5,5,3,4,14,0,0,0,0,0,21,19
Tanner Jeannot,NSH,LW,81,24,17,41,2,130,124,5,2,1,1,0,318,64
Jack Roslovic,CLS,RW,81,22,23,45,2,12,131,4,4,3,0,0,60,25
Alexis Lafreniere,NYR,LW,79,19,12,31,2,37,110,4,0,2,0,0,108,26
Craig Smith,BOS,RW,74,16,20,36,2,28,187,1,0,4,0,0,95,28
Vladislav Namestnikov,TB,C,75,16,14,30,2,45,91,1,0,1,1,0,62,39
Sean Kuraly,CLS,C,77,14,16,30,2,61,121,0,0,1,0,1,240,51
Philip Tomasino,NSH,C,76,11,21,32,2,10,111,3,3,6,0,0,49,28
Denis Gurianov,DAL,RW,73,11,20,31,2,16,144,2,4,3,0,0,67,32
Kasperi Kapanen,PIT,RW,79,11,21,32,2,16,129,2,0,5,0,0,110,19
Tyson Jost,BUF,C,80,8,12,20,2,34,97,2,0,0,0,1,55,37
Colton Sissons,NSH,RW,79,7,21,28,2,30,87,0,1,3,0,0,188,44
Tyler Motte,OTT,C,58,7,8,15,2,22,101,1,0,0,1,0,117,58
Zack Kassian,ARI,RW,58,6,13,19,2,63,58,1,2,0,0,0,154,6
Justin Braun,PHI,D,69,6,12,18,2,36,73,0,0,0,0,0,87,121
Brandon Carlo,BOS,D,79,6,9,15,2,31,125,0,0,1,1,0,143,104
Brendan Gaunce,CLS,C,30,5,2,7,2,12,44,0,0,0,0,0,42,9
Derek Forbort,BOS,D,76,4,10,14,2,48,64,1,0,0,0,1,133,100
Mathieu Perreault,FA,C,25,4,5,9,2,4,27,0,0,1,0,0,35,11
Chad Ruhwedel,PIT,D,78,4,9,13,2,14,82,0,0,0,0,0,149,86
Dylan Gambrell,OTT,C,63,3,4,7,2,12,58,0,0,0,1,0,103,39
Noel Acciari,STL,C,20,3,5,8,2,11,32,1,0,0,0,0,48,16
Zach Bogosian,TB,D,48,3,5,8,2,53,60,1,0,0,0,0,114,34
Mark Jankowski,NSH,C,19,2,3,5,2,4,14,1,0,0,0,0,5,8
Adam Brooks,PHI,C,25,2,1,3,2,2,14,2,0,0,0,0,11,6
Jesse Ylonen,MON,LW,14,2,3,5,2,2,16,0,0,0,0,0,5,4
Beck Malenstyn,WAS,C,12,1,0,1,2,9,10,0,0,0,0,0,34,7
Hendrix Lapierre,WAS,C,6,1,0,1,2,2,7,0,0,0,0,0,1,2
Buddy Robinson,CHI,RW,32,1,5,6,2,19,38,0,0,0,0,0,56,12
Tucker Poolman,VAN,D,40,1,2,3,2,12,47,0,0,0,0,0,33,73
Ryan Ellis,PHI,D,4,1,4,5,2,0,6,0,0,2,0,0,1,6
Slater Koekkoek,EDM,D,19,0,4,4,2,16,11,0,0,0,0,0,21,18
John Moore,ANH,D,7,0,1,1,2,4,7,0,0,0,0,1,9,11
Colton White,ANH,D,27,0,4,4,2,8,18,0,0,0,0,0,24,14
Carl Dahlstrom,TOR,D,3,0,2,2,2,2,4,0,0,0,0,0,1,2
Kent Johnson,CLS,C,9,0,3,3,2,2,5,0,0,2,0,0,4,1
Valtteri Puustinen,PIT,RW,1,0,1,1,2,0,1,0,0,0,0,0,1,0
Mattias Norlinder,MON,D,6,0,1,1,2,2,2,0,0,0,0,0,4,3
Dakota Mermis,MIN,D,2,0,0,0,2,0,1,0,0,0,0,0,3,1
Max Lajoie,CAR,D,5,0,0,0,2,0,6,0,0,0,0,0,3,5
Chase Priskie,BUF,D,4,0,0,0,2,2,4,0,0,0,0,0,3,3
Fredrik Karlstrom,DAL,C,3,0,1,1,2,0,1,0,0,0,0,0,0,0
Martin Kaut,COL,RW,6,0,0,0,2,0,1,0,0,0,0,0,6,3
Juuso Riikola,FA,D,5,0,1,1,2,2,7,0,0,0,0,0,13,2
Alex Chmelevski,SJ,C,19,0,8,8,2,4,31,0,0,0,0,0,20,4
Scott Perunovich,STL,D,19,0,6,6,2,8,14,0,0,3,0,0,5,12
Elias Pettersson,VAN,C,80,32,36,68,1,12,192,3,10,17,2,0,49,43
Nikita Kucherov,TB,RW,47,25,44,69,1,22,156,1,9,21,0,0,32,7
Alex Killorn,TB,C,82,25,34,59,1,66,164,2,6,8,0,0,88,26
Nick Schmaltz,ARI,RW,63,23,36,59,1,14,123,4,4,4,0,0,15,28
