,,,,Overall,,,,,,,PP,,SH,,Defense,
Oliver Ekman-Larsson,VAN,D,80,15,29,44,-4,50,199,6,8,14,0,0,134,80
Dwight King,FA,LW,77,15,15,30,16,18,111,3,0,1,2,0,114,17
Jordan Staal,CAR,C,82,15,25,40,2,34,165,2,2,8,1,3,194,37
Michael Frolik,FA,LW,81,15,27,42,8,12,189,2,1,1,0,1,41,51
Chris Stewart,FA,RW,63,15,11,26,0,118,110,3,3,3,0,0,80,9
Martin Hanzal,FA,C,65,15,25,40,-9,73,169,2,5,8,0,0,200,37
Benoit Pouliot,FA,LW,80,15,21,36,10,56,141,4,7,1,0,0,141,18
Dustin Brown,FA,RW,79,15,12,27,7,66,195,2,1,3,0,0,246,12
Eric Nystrom,FA,LW,79,15,6,21,-25,60,120,1,0,0,1,0,154,35
Scottie Upshall,FA,LW,76,15,22,37,1,73,161,3,1,5,1,0,134,25
Jason Chimera,FA,LW,82,15,27,42,4,36,167,0,1,4,0,1,140,30
Tomas Hertl,SJ,LW,37,15,10,25,11,4,98,3,3,0,0,0,39,13
Torey Krug,STL,D,79,14,26,40,18,28,183,2,6,13,0,0,50,77
Antoine Roussel,FA,LW,81,14,15,29,-1,209,113,2,0,0,0,2,146,49
Ben Smith,FA,RW,75,14,12,26,3,2,90,2,1,1,0,0,40,58
Brock Nelson,NYI,C,72,14,12,26,-10,12,132,1,3,4,0,0,74,38
Nino Niederreiter,NSH,RW,81,14,22,36,12,44,143,1,2,4,0,0,175,23
Valeri Nichushkin,COL,LW,79,14,20,34,20,8,128,2,2,1,0,0,86,27
David Legwand,FA,C,83,14,37,51,-17,61,146,4,6,13,0,0,49,38
Matt Stajan,FA,C,63,14,19,33,-13,42,70,2,0,1,1,2,74,36
P.A. Parenteau,FA,RW,55,14,19,33,3,30,110,1,1,2,0,0,35,16
Dustin Penner,FA,LW,67,14,21,35,25,30,119,2,5,6,0,0,92,24
Mark Giordano,TOR,D,64,14,33,47,12,63,180,2,7,13,0,3,73,103
Patrik Berglund,FA,C,78,14,18,32,10,38,144,2,2,2,0,0,88,30
Ryan McDonagh,NSH,D,77,14,29,43,11,36,177,4,2,11,3,1,88,131
Kyle Palmieri,NYI,RW,71,14,17,31,9,38,147,4,0,0,0,0,96,31
Zack Kassian,ARI,RW,73,14,15,29,-4,124,91,2,1,0,0,0,91,6
Victor Hedman,TB,D,75,13,42,55,5,53,170,2,3,11,0,6,86,101
Nick Spaling,FA,C,71,13,19,32,2,14,85,1,3,3,1,0,42,32
Zack Smith,FA,C,82,13,9,22,-9,111,154,4,0,1,1,1,175,28
Brandon Sutter,FA,C,81,13,13,26,-9,12,144,1,2,3,3,0,69,40
Mikhail Grabovski,FA,C,58,13,22,35,6,26,81,1,3,5,0,0,19,22
Eric Fehr,FA,RW,73,13,18,31,0,32,137,2,0,1,0,1,81,33
Brenden Morrow,FA,LW,71,13,12,25,1,76,56,3,4,3,0,0,110,20
Daniel Briere,FA,RW,69,13,12,25,1,30,118,1,4,2,0,0,23,11
Dainius Zubrus,FA,RW,82,13,13,26,1,46,121,1,0,0,0,0,107,39
Ales Hemsky,FA,RW,75,13,30,43,-15,24,138,1,2,11,0,0,37,33
Brandon Pirri,FA,C,49,13,12,25,6,8,80,0,3,3,0,0,24,15
Roman Josi,NSH,D,72,13,27,40,-2,18,168,2,3,10,0,0,32,150
Justin Fontaine,FA,RW,66,13,8,21,6,26,79,1,1,1,0,0,9,23
Tyson Barrie,EDM,D,64,13,25,38,17,20,101,5,4,6,0,0,50,57
Mark Scheifele,WPG,C,63,13,21,34,9,14,100,2,1,3,0,0,63,39
Sean Couturier,PHI,C,82,13,26,39,1,45,165,2,0,3,1,4,64,40
Alex Chiasson,FA,RW,79,13,22,35,-21,38,144,4,6,7,0,0,76,21
Alex Galchenyuk,COL,RW,65,13,18,31,-12,26,110,2,3,7,0,0,49,25
Tyler Toffoli,CGY,RW,62,12,17,29,21,10,124,5,1,3,0,0,57,8
Charlie Coyle,BOS,C,70,12,18,30,-7,33,135,2,2,1,0,0,108,37
Dany Heatley,FA,LW,76,12,16,28,-18,18,110,2,4,6,0,0,33,30
Martin Havlat,FA,RW,48,12,10,22,14,10,72,2,1,1,0,0,9,14
Dan Boyle,FA,D,75,12,24,36,-8,32,154,1,6,12,0,0,46,92
Marek Zidlicky,FA,D,81,12,30,42,-3,60,128,2,8,10,0,2,124,81
Curtis Glencross,FA,LW,38,12,12,24,-11,12,77,2,3,5,0,0,59,27
Lee Stempniak,FA,RW,73,12,22,34,-16,32,178,1,0,4,2,3,104,21
Michael Grabner,FA,RW,64,12,14,26,-10,12,137,2,0,0,3,0,68,25
Kris Versteeg,FA,LW,81,12,24,36,0,36,157,1,1,7,0,0,29,23
Lars Eller,WAS,C,77,12,14,26,-15,68,137,3,2,1,1,1,130,58
Cal Clutterbuck,NYI,RW,73,12,7,19,-9,50,172,1,0,0,3,1,270,14
Teddy Purcell,FA,RW,81,12,30,42,-3,14,157,4,3,14,0,0,13,12
Mark Letestu,FA,C,82,12,22,34,1,20,122,1,5,6,1,2,63,25
Darren Helm,COL,C,42,12,8,20,2,14,83,3,1,0,2,0,73,16
Shawn Matthias,FA,C,77,12,11,23,-3,26,127,0,0,0,0,0,93,29
Jannik Hansen,FA,RW,71,11,9,20,-9,43,112,3,0,1,1,0,99,22
Kris Letang,PIT,D,37,11,11,22,-8,16,108,1,6,6,0,0,43,51
Andrej Sekera,FA,D,74,11,33,44,4,20,142,1,4,11,1,0,54,127
Rob Klinkhammer,FA,LW,72,11,9,20,6,19,103,1,1,0,0,0,168,7
Colin Wilson,FA,LW,81,11,22,33,-1,21,112,3,2,3,0,0,49,35
Alec Martinez,VGK,D,61,11,11,22,17,14,79,2,3,5,0,0,96,75
Patrick Maroon,TB,LW,62,11,18,29,11,101,93,3,1,3,0,0,124,16
Brad Richardson,FA,C,73,11,12,23,1,39,85,2,1,0,2,1,63,52
John Mitchell,FA,C,75,11,21,32,13,36,107,2,3,0,0,1,112,51
Devin Setoguchi,FA,RW,75,11,16,27,-7,22,129,3,2,1,0,0,143,37
Bryan Bickell,FA,LW,59,11,4,15,-6,28,93,2,0,0,0,0,105,10
Marcel Goc,FA,C,74,11,14,25,-7,35,117,1,0,2,0,0,119,43
Mikko Koivu,FA,C,65,11,43,54,0,24,147,4,2,16,0,2,33,32
Mike Richards,FA,C,82,11,30,41,-6,28,157,3,4,8,1,1,73,21
Marian Gaborik,FA,RW,41,11,19,30,7,10,103,0,1,6,0,0,15,10
Henrik Sedin,FA,C,70,11,39,50,3,42,97,1,4,14,0,0,43,19
Joe Thornton,FA,C,82,11,65,76,20,32,122,3,2,17,0,1,54,34
Saku Koivu,FA,C,65,11,18,29,3,46,81,1,0,0,1,3,29,30
Jimmy Hayes,FA,RW,55,11,7,18,-5,18,72,0,3,1,0,0,115,19
Nail Yakupov,FA,RW,63,11,13,24,-33,36,122,1,4,2,0,0,64,23
Damien Brunner,FA,RW,60,11,14,25,-11,26,110,1,4,6,0,1,15,5
Justin Schultz,SEA,D,74,11,22,33,-22,16,109,3,1,11,0,0,30,107
Jacob Trouba,NYR,D,65,10,19,29,4,43,121,1,0,3,1,0,95,132
Matt Nieto,SJ,LW,66,10,14,24,-4,16,124,2,1,3,0,0,7,45
Jakob Silfverberg,ANH,RW,52,10,13,23,2,12,119,1,1,0,2,0,31,20
Ryan Smyth,FA,LW,72,10,13,23,-18,44,129,1,5,2,0,0,58,29
Matt Cooke,FA,LW,82,10,18,28,8,54,104,3,0,2,1,1,190,61
Matt Cullen,FA,C,77,10,29,39,4,32,134,2,1,8,0,0,18,22
Loui Eriksson,FA,RW,61,10,27,37,14,6,115,2,2,9,0,1,12,13
Paul Gaustad,FA,C,75,10,11,21,-6,61,74,0,0,0,0,0,122,55
Matt Niskanen,FA,D,81,10,36,46,33,51,162,6,3,12,0,0,124,76
Mike Santorelli,FA,C,49,10,18,28,9,6,91,3,0,0,0,2,23,44
Justin Abdelkader,FA,LW,70,10,18,28,2,31,147,3,1,2,0,0,172,31
Nick Holden,OTT,D,54,10,15,25,12,22,66,2,2,5,0,1,118,57
Drew Doughty,LA,D,78,10,27,37,17,64,177,2,6,10,0,1,180,91
Joe Colborne,FA,C,80,10,18,28,-17,34,80,1,1,3,0,0,129,33
Jake Gardiner,CAR,D,80,10,21,31,-3,19,136,1,2,9,1,0,108,87
John Carlson,WAS,D,82,10,27,37,-3,22,208,0,5,17,0,1,64,177
P.K. Subban,FA,D,82,10,43,53,-4,81,204,1,4,19,0,0,135,125
Mark Streit,FA,D,82,10,34,44,3,44,121,2,4,11,0,0,41,108
Toby Enstrom,FA,D,82,10,20,30,-9,56,106,3,4,9,0,0,37,142
Kevin Shattenkirk,ANH,D,81,10,35,45,1,38,188,5,7,19,0,1,72,101
Sam Gagner,WPG,C,67,10,27,37,-29,41,143,1,1,6,0,1,33,34
Riley Nash,FA,C,73,10,14,24,0,29,86,3,1,2,0,1,81,22
Vladimir Sobotka,FA,C,61,9,24,33,14,72,102,1,1,6,0,1,110,28
Nikolay Kulemin,FA,RW,70,9,11,20,-4,24,81,4,0,0,0,0,153,63
David Jones,FA,RW,48,9,8,17,1,10,104,1,2,0,0,0,102,31
David Booth,FA,LW,66,9,10,19,1,18,117,0,0,1,0,0,121,17
Erik Johnson,COL,D,80,9,30,39,5,61,157,2,2,12,0,0,136,130
Tyler Myers,VAN,D,62,9,13,22,-26,58,99,0,3,6,0,0,107,81
Jesse Winchester,FA,LW,52,9,9,18,-2,38,100,2,1,0,0,0,65,21
Matt Beleskey,FA,LW,55,9,15,24,8,64,112,2,0,4,0,1,132,24
Nate Thompson,FA,C,81,9,7,16,3,27,105,1,0,0,2,0,114,45
Maxim Lapierre,FA,C,71,9,6,15,-3,78,78,1,0,0,0,0,87,18
Rene Bourque,FA,LW,63,9,7,16,-1,32,118,2,3,1,0,0,90,15
Lauri Korpikoski,FA,LW,64,9,16,25,-7,24,109,0,1,1,0,3,136,38
Mike Green,FA,D,70,9,29,38,-16,64,172,2,3,12,0,0,62,107
Derek Roy,FA,C,75,9,28,37,-1,30,114,2,4,12,0,0,13,30
Chris Kelly,FA,RW,57,9,9,18,2,32,69,0,0,0,1,0,72,29
Todd Bertuzzi,FA,RW,59,9,7,16,-17,40,100,0,6,1,0,0,72,14
Teemu Selanne,FA,RW,64,9,18,27,8,12,111,3,4,4,0,0,15,8
Ray Whitney,FA,LW,69,9,23,32,-6,14,124,0,3,12,0,0,14,16
Steve Ott,FA,C,82,9,14,23,-38,92,127,1,6,2,0,0,246,35
Trevor Daley,FA,D,67,9,16,25,10,38,107,3,1,3,0,0,42,98
Daniel Paille,FA,LW,72,9,9,18,9,6,71,1,0,0,1,0,70,30
Derek MacKenzie,FA,C,71,9,9,18,0,47,70,0,0,0,2,1,241,32
Jonathan Huberdeau,CGY,LW,69,9,19,28,-5,37,108,1,2,3,0,0,73,23
Nikita Kucherov,TB,RW,52,9,9,18,3,14,102,3,3,1,0,0,15,19
Olli Maatta,DET,D,78,9,20,29,8,14,119,1,3,3,1,0,41,112
Riley Sheahan,FA,C,42,9,15,24,8,6,59,1,2,3,0,0,25,16
Gabriel Bourque,FA,LW,74,9,17,26,-5,8,108,1,0,1,0,0,70,34
Matt Calvert,FA,LW,56,9,15,24,-1,53,90,1,2,2,0,0,111,29
Michael Raffl,FA,LW,68,9,13,22,2,28,101,3,0,0,0,0,113,44
Anders Lee,NYI,C,22,9,5,14,3,14,68,0,2,0,0,0,48,2
Elias Lindholm,CGY,RW,58,9,12,21,-14,4,70,2,4,3,0,0,51,17
Aleksander Barkov,FLA,C,54,8,16,24,-3,10,87,1,3,3,0,0,16,27
Marcus Johansson,WAS,LW,80,8,36,44,-21,4,107,1,6,15,0,0,49,27
Matt Martin,NYI,LW,79,8,6,14,-11,90,120,3,0,0,0,0,359,42
Marcus Kruger,FA,C,81,8,20,28,6,36,96,2,0,0,0,1,22,70
Mikael Granlund,NSH,C,63,8,33,41,-3,22,104,2,2,10,0,0,38,46
Zemgus Girgensons,BUF,C,70,8,14,22,-6,14,115,1,0,0,1,1,161,43
Tomas Jurco,FA,RW,36,8,7,15,0,14,77,0,2,1,0,0,67,9
Jonas Brodin,MIN,D,79,8,11,19,0,22,74,0,3,4,0,0,33,117
Jarret Stoll,FA,C,78,8,19,27,9,48,109,0,1,3,0,1,202,60
Boyd Gordon,FA,C,74,8,13,21,-15,20,80,1,1,3,1,1,27,89
Tomas Fleischmann,FA,LW,80,8,20,28,-18,22,188,1,2,5,0,1,59,11
Chris Neil,FA,RW,76,8,6,14,-10,211,99,0,0,1,0,0,253,18
Niklas Kronwall,FA,D,79,8,41,49,0,44,110,0,5,20,0,1,93,154
Brooks Laich,FA,C,51,8,7,15,-7,16,75,1,1,2,1,1,62,35
Tuomo Ruutu,FA,LW,76,8,16,24,-18,44,105,2,3,0,0,0,216,34
Gregory Campbell,FA,C,82,8,13,21,1,47,84,2,0,1,1,1,134,46
Dion Phaneuf,FA,D,80,8,23,31,2,144,145,0,2,9,0,1,227,156
Ryan Suter,DAL,D,82,8,35,43,15,34,150,0,3,14,0,1,72,132
Kyle Brodziak,FA,C,81,8,16,24,0,61,115,1,0,1,1,0,73,41
Maxime Talbot,FA,C,81,8,19,27,5,45,124,1,0,1,1,0,116,46
Colin McDonald,NYI,RW,70,8,10,18,-22,34,96,0,0,0,0,0,217,15
David Moss,FA,RW,79,8,14,22,-1,18,151,1,0,2,0,0,120,49
Alex Pietrangelo,VGK,D,81,8,43,51,20,32,164,1,2,16,0,1,24,164
Josh Bailey,NYI,LW,77,8,30,38,-8,26,98,1,2,8,0,0,44,29
Michael Stone,CGY,D,70,8,13,21,-10,38,105,1,2,4,0,1,153,114
Colton Sceviour,FA,RW,26,8,4,12,-3,4,69,2,2,0,0,0,19,16
Viktor Stalberg,FA,LW,70,8,10,18,-14,32,114,1,0,0,0,0,55,25
Joakim Andersson,FA,C,65,8,9,17,-11,12,78,1,0,0,0,1,26,25
Dmitry Kulikov,ANH,D,81,8,11,19,-26,66,127,0,2,3,1,0,125,92
Patrick Dwyer,FA,RW,75,8,14,22,-2,14,134,2,0,0,2,0,107,48
Andy Greene,FA,D,82,8,24,32,3,32,134,3,3,10,0,2,87,129
Dave Bolland,FA,C,23,8,4,12,-1,24,33,2,1,1,1,0,38,13
Keith Yandle,FA,D,82,8,45,53,-23,63,241,2,3,28,0,0,22,105
