,,,,Overall,,,,,,,PP,,SH,,Defense,
Johnny Gaudreau,CLS,LW,72,18,43,61,-7,4,182,3,4,12,0,0,9,14
Boone Jenner,CLS,LW,82,18,16,34,14,52,211,4,0,1,2,0,216,80
Sven Baertschi,FA,LW,68,18,17,35,-6,8,114,5,2,4,0,0,52,29
Ryan Nugent-Hopkins,EDM,LW,82,18,25,43,-10,29,200,4,5,6,0,0,47,35
Gabriel Landeskog,COL,LW,72,18,15,33,-25,62,169,2,5,1,1,0,143,41
Ondrej Palat,NJ,LW,75,17,35,52,8,39,162,3,5,10,0,0,141,66
Derek Stepan,CAR,C,81,17,38,55,19,16,209,2,4,14,1,0,26,45
Kevin Hayes,PHI,C,76,17,32,49,10,18,143,4,1,6,1,6,40,30
Justin Faulk,STL,D,75,17,20,37,-18,32,225,2,4,9,0,0,117,84
Henrik Zetterberg,FA,LW,82,17,51,68,15,22,195,0,2,11,0,0,58,30
Thomas Vanek,FA,LW,68,17,31,48,-5,22,133,2,5,8,0,0,29,5
David Backes,FA,RW,74,17,21,38,2,69,175,2,2,5,0,0,226,47
Shea Weber,VGK,D,78,17,25,42,20,38,183,4,12,10,0,2,140,157
Brandon Sutter,FA,C,81,17,17,34,-20,12,160,1,4,4,0,0,78,53
Erik Karlsson,SJ,D,77,17,54,71,10,28,218,5,4,23,0,2,67,201
Michael Frolik,FA,LW,82,17,27,44,13,58,202,1,3,5,2,1,60,48
Frans Nielsen,FA,C,79,17,24,41,-19,18,162,0,4,11,2,0,64,54
Sam Reinhart,FLA,RW,79,17,30,47,-11,8,178,3,9,8,0,0,21,40
Dylan Larkin,DET,C,80,17,15,32,-28,37,178,1,5,2,1,0,67,22
Josh Anderson,MON,RW,78,17,12,29,12,89,119,3,0,0,0,0,147,40
Alex Galchenyuk,COL,RW,61,17,27,44,-5,24,104,6,6,9,0,0,36,32
Anthony Mantha,WAS,RW,60,17,19,36,10,53,133,3,1,2,0,0,46,33
Nathan MacKinnon,COL,C,82,16,37,53,-14,16,251,4,2,12,2,0,56,30
Jimmy Vesey,NYR,LW,80,16,11,27,-13,26,116,6,5,3,0,0,64,37
Jake Guentzel,PIT,LW,40,16,17,33,7,10,81,0,1,2,0,0,61,18
Jordan Staal,CAR,C,75,16,29,45,-1,38,164,3,4,4,1,0,139,29
Mark Letestu,FA,C,78,16,19,35,-2,17,120,6,11,3,2,1,71,34
Zack Smith,FA,C,74,16,16,32,6,61,137,1,1,0,4,0,140,38
Andrew Cogliano,COL,LW,82,16,19,35,11,26,178,2,0,0,3,1,76,27
Lee Stempniak,FA,RW,82,16,24,40,2,32,131,2,2,4,0,0,113,16
Jaromir Jagr,FA,RW,82,16,30,46,2,56,181,2,8,5,0,0,21,4
Alexander Steen,FA,LW,76,16,35,51,-2,53,117,2,3,13,0,0,33,69
Tyler Toffoli,CGY,RW,63,16,18,34,6,22,165,2,4,3,0,1,54,4
Victor Hedman,TB,D,79,16,56,72,3,47,166,5,4,29,0,0,93,132
Ryan Ellis,PHI,D,71,16,22,38,17,29,140,3,4,7,1,2,64,137
Victor Rask,FA,C,82,16,29,45,-10,16,186,3,4,6,0,1,43,33
Tobias Rieder,FA,RW,80,16,18,34,-8,6,155,1,2,4,1,1,24,38
Brett Ritchie,CGY,RW,78,16,8,24,11,38,167,2,1,1,0,0,153,23
Adam Lowry,WPG,LW,82,15,14,29,1,52,122,1,5,4,0,1,217,56
Micheal Ferland,VAN,LW,76,15,10,25,-1,50,106,1,2,2,0,0,149,26
Calle Jarnkrok,TOR,C,81,15,16,31,-1,25,134,1,2,2,1,2,49,29
Bryan Rust,PIT,RW,57,15,13,28,4,8,110,1,0,0,0,1,101,29
Brett Connolly,FA,RW,66,15,8,23,20,40,81,3,1,0,0,0,89,12
Mats Zuccarello,MIN,RW,80,15,44,59,15,26,189,3,5,9,0,0,85,52
Daniel Sedin,FA,LW,82,15,29,44,-16,32,216,3,6,8,0,0,20,18
Henrik Sedin,FA,C,82,15,35,50,-27,28,99,4,1,14,0,0,15,11
Brian Gionta,FA,RW,82,15,20,35,-11,22,149,3,3,4,1,1,54,30
Jason Spezza,FA,C,68,15,35,50,-18,29,149,4,2,17,1,0,13,31
Alex Burrows,FA,RW,75,15,16,31,3,62,143,2,1,0,0,1,68,34
Ryan Getzlaf,FA,C,74,15,58,73,7,49,138,3,6,14,2,1,99,88
Kris Versteeg,FA,LW,69,15,22,37,-3,46,136,1,8,8,0,0,5,28
Christian Dvorak,MON,LW,78,15,18,33,7,22,88,1,2,3,0,0,72,56
Teuvo Teravainen,CAR,C,81,15,27,42,-6,16,169,2,5,10,0,0,27,33
Reilly Smith,VGK,RW,80,15,22,37,-13,17,160,3,6,5,1,0,75,34
Erik Haula,NJ,C,72,15,11,26,5,28,134,4,1,0,0,0,39,38
Leo Komarov,FA,LW,82,14,18,32,6,31,114,1,4,6,1,1,232,50
Nick Ritchie,ARI,LW,77,14,14,28,4,62,149,3,1,1,0,0,247,24
Brendan Perlini,FA,LW,57,14,7,21,-4,20,92,2,3,2,0,0,42,15
Derick Brassard,OTT,C,81,14,25,39,12,24,195,3,3,4,0,0,92,24
Claude Giroux,OTT,C,82,14,44,58,-15,38,199,3,5,26,0,1,68,28
Matt Moulson,FA,LW,81,14,18,32,-4,10,134,2,11,7,0,0,37,18
Alex Pietrangelo,VGK,D,80,14,34,48,3,24,181,4,6,13,0,0,38,158
Dustin Brown,FA,RW,80,14,22,36,-4,22,175,1,4,2,1,0,190,31
Travis Zajac,FA,C,80,14,31,45,-8,33,126,1,6,6,1,1,81,26
Mike Green,FA,D,72,14,22,36,-20,40,125,2,3,7,0,0,67,92
Jarome Iginla,FA,RW,80,14,13,27,-30,70,153,4,7,4,0,0,116,21
Ryan Johansen,NSH,C,82,14,47,61,1,60,154,3,4,19,1,0,77,28
Sean Couturier,PHI,C,66,14,20,34,12,33,120,2,0,2,0,1,41,35
Mika Zibanejad,NYR,C,56,14,23,37,9,16,119,2,4,7,0,0,23,27
Ryan Dzingel,CAR,C,81,14,18,32,7,30,123,1,1,2,1,0,71,21
Phillip Danault,LA,C,82,13,27,40,5,35,133,3,0,2,0,1,76,52
Ryan Strome,ANH,C,69,13,17,30,-8,40,114,2,2,6,0,0,59,21
Dougie Hamilton,NJ,D,81,13,37,50,12,64,222,5,2,12,0,1,68,94
John Klingberg,ANH,D,80,13,36,49,2,34,124,3,4,13,0,0,42,117
Marcus Foligno,MIN,LW,80,13,10,23,-1,73,97,0,0,0,1,0,279,57
Matt Cullen,FA,C,72,13,18,31,4,30,93,2,2,2,2,0,36,27
Scott Hartnell,FA,LW,78,13,24,37,14,63,104,1,2,1,0,0,94,40
Jason Pominville,FA,RW,78,13,34,47,2,4,176,2,0,7,0,0,44,38
P.A. Parenteau,FA,RW,67,13,15,28,-18,35,123,2,4,4,0,0,60,9
Brian Boyle,FA,C,75,13,12,25,3,66,131,2,3,3,0,0,115,41
Dustin Byfuglien,FA,D,80,13,39,52,10,117,241,1,1,13,0,2,183,124
Bobby Ryan,FA,RW,62,13,12,25,-3,24,111,0,2,3,0,0,109,36
Josh Bailey,NYI,LW,82,13,43,56,5,12,173,1,3,9,0,0,37,53
Kevin Shattenkirk,ANH,D,80,13,43,56,-7,47,161,2,8,19,0,0,88,95
Jay Beagle,FA,C,81,13,17,30,20,22,100,4,0,0,1,2,55,44
Mathieu Perreault,FA,C,65,13,32,45,-11,30,134,3,3,12,0,0,97,26
Chris Stewart,FA,RW,79,13,8,21,3,94,82,0,0,2,0,0,85,19
Troy Brouwer,FA,RW,74,13,12,25,-11,31,86,2,5,6,1,1,171,39
Sam Bennett,FLA,LW,81,13,13,26,-16,75,122,0,4,0,0,1,127,46
Devin Shore,EDM,C,82,13,20,33,-4,14,115,0,1,5,0,0,44,71
Alexander Wennberg,SEA,C,80,13,46,59,9,21,109,5,2,21,0,0,58,56
Matthew Tkachuk,FLA,LW,76,13,35,48,14,105,142,2,3,10,0,0,65,22
Seth Jones,CHI,D,75,12,30,42,6,24,152,3,1,6,0,0,61,118
Andre Burakovsky,SEA,LW,64,12,23,35,13,14,111,1,2,3,0,0,31,25
Justin Schultz,SEA,D,78,12,39,51,27,34,154,1,3,17,0,0,67,116
Radek Faksa,DAL,C,80,12,21,33,-6,67,132,0,0,2,0,0,101,62
Alex Chiasson,FA,RW,81,12,12,24,-6,46,104,1,0,2,1,0,74,18
Trevor Lewis,CGY,C,82,12,12,24,-6,30,145,3,1,1,0,0,174,30
Nikolay Kulemin,FA,RW,72,12,11,23,3,18,74,4,1,1,1,1,78,45
Lars Eller,WAS,C,81,12,13,25,15,36,115,2,0,1,1,0,71,30
Colin Wilson,FA,LW,70,12,23,35,7,18,113,0,6,1,0,0,50,23
Drew Doughty,LA,D,82,12,32,44,8,46,181,1,5,14,0,1,129,109
Anze Kopitar,LA,C,76,12,40,52,-10,28,150,0,5,14,0,1,78,59
Valtteri Filppula,FA,C,79,12,30,42,-1,26,97,1,0,7,0,0,26,39
Daniel Winnik,FA,LW,72,12,13,25,15,49,82,3,0,0,2,0,25,34
Brandon Dubinsky,FA,C,80,12,29,41,16,91,115,5,1,3,1,0,248,60
Mark Giordano,TOR,D,81,12,27,39,22,59,151,4,3,11,2,1,78,184
Rene Bourque,FA,LW,65,12,6,18,-19,56,111,2,2,0,0,0,75,26
John Moore,ANH,D,63,12,10,22,-7,39,102,1,1,2,0,0,68,61
Oliver Ekman-Larsson,VAN,D,79,12,27,39,-25,48,145,1,8,11,0,0,112,85
Roman Josi,NSH,D,72,12,37,49,7,18,217,1,7,11,0,1,54,119
Gustav Nyquist,CLS,RW,76,12,36,48,0,18,165,2,2,7,0,0,54,20
Oscar Klefbom,EDM,D,82,12,26,38,7,6,201,3,3,13,0,1,43,146
Antoine Roussel,FA,LW,60,12,15,27,1,115,82,3,0,3,0,0,69,45
Craig Smith,BOS,RW,78,12,17,29,7,30,155,1,2,1,0,0,93,16
Andrew Shaw,FA,C,68,12,17,29,4,110,127,1,1,6,0,0,147,38
Jean-Gabriel Pageau,NYI,C,82,12,21,33,13,24,169,2,0,0,0,2,161,79
Cam Fowler,ANH,D,80,11,28,39,7,20,186,3,5,10,1,1,29,134
Ryan Spooner,FA,C,78,11,28,39,-8,14,145,3,3,15,0,1,24,17
Nick Leddy,STL,D,81,11,35,46,-3,12,137,1,3,12,0,0,77,109
Viktor Stalberg,FA,LW,75,11,5,16,-9,41,101,2,1,1,2,0,141,28
Loui Eriksson,FA,RW,65,11,13,24,-9,8,132,1,5,2,0,1,11,26
Dominic Moore,FA,C,82,11,14,25,2,44,96,1,0,0,3,1,63,42
Jussi Jokinen,FA,LW,69,11,17,28,-15,39,118,2,4,6,1,0,28,33
Nick Holden,OTT,D,80,11,23,34,13,35,84,2,3,1,0,1,164,88
Matt Dumba,MIN,D,76,11,23,34,15,59,131,1,6,6,0,1,96,71
Chris Tierney,FLA,C,80,11,12,23,0,6,90,2,1,0,1,1,50,44
Jordan Martinook,CAR,LW,77,11,14,25,-8,40,109,2,1,1,1,2,50,68
Elias Lindholm,CGY,RW,72,11,34,45,-2,16,151,0,2,9,1,4,99,43
Melker Karlsson,FA,C,67,11,11,22,7,22,73,1,0,0,2,0,67,59
Kevin Fiala,LA,LW,54,11,5,16,1,18,114,1,0,0,0,0,44,14
Robby Fabbri,DET,LW,51,11,18,29,-16,27,91,0,4,5,0,0,64,14
Zach Werenski,CLS,D,78,11,36,47,17,14,188,1,4,17,0,0,41,90
Derek Ryan,EDM,C,67,11,18,29,-8,22,73,3,4,4,1,0,33,37
Travis Konecny,PHI,C,70,11,17,28,-2,49,133,0,3,1,0,0,92,26
Frank Vatrano,ANH,LW,44,10,8,18,-3,14,116,1,4,1,0,0,51,16
Aaron Ekblad,FLA,D,68,10,11,21,-23,58,225,2,4,4,1,0,88,62
Tomas Hertl,SJ,LW,49,10,12,22,-8,14,100,4,1,1,0,0,76,42
Mikhail Grigorenko,FA,C,75,10,13,23,-14,18,85,0,0,4,0,0,27,26
Mikkel Boedker,FA,LW,81,10,16,26,0,10,122,2,0,1,1,0,71,35
P.K. Subban,FA,D,66,10,30,40,-8,44,142,2,3,13,0,1,78,104
Joel Ward,FA,RW,78,10,19,29,-2,30,105,2,1,2,2,0,61,56
Adam Cracknell,ARI,C,69,10,6,16,9,12,87,2,0,0,1,0,91,37
Tomas Plekanec,FA,C,78,10,18,28,10,24,139,3,3,4,2,0,57,45
Michael Cammalleri,FA,LW,61,10,21,31,-9,21,142,3,1,9,0,0,44,14
Marian Gaborik,FA,RW,56,10,11,21,-4,18,123,3,3,2,0,0,21,15
Scottie Upshall,FA,LW,73,10,8,18,-1,45,85,1,0,0,2,0,99,21
Zdeno Chara,FA,D,75,10,19,29,18,59,136,0,1,2,2,0,130,140
Matt Calvert,FA,LW,65,10,5,15,-4,48,92,1,0,0,3,1,61,34
Vladislav Namestnikov,TB,C,74,10,18,28,-4,31,114,0,3,3,0,1,72,31
Jonathan Huberdeau,CGY,LW,31,10,16,26,-2,13,86,2,3,4,0,0,18,7
Joel Armia,MON,RW,57,10,9,19,-8,20,111,1,0,2,4,0,68,30
Matt Read,TOR,RW,63,10,9,19,3,8,92,2,2,0,1,0,95,32
Zach Hyman,EDM,RW,82,10,18,28,2,30,156,3,0,0,4,0,109,43
Brendan Gallagher,MON,RW,64,10,19,29,7,39,187,2,1,2,0,0,69,15
Jared Spurgeon,MIN,D,76,10,28,38,33,20,144,2,1,4,0,1,49,140
Jake Muzzin,TOR,D,82,9,19,28,-21,46,184,1,4,6,0,0,162,122
Antoine Vermette,FA,C,72,9,19,28,-7,42,88,1,5,6,0,0,51,45
Ryan Suter,DAL,D,82,9,31,40,34,36,164,1,4,8,1,1,72,105
Chris Kunitz,FA,LW,71,9,20,29,0,36,134,3,0,5,0,0,216,28
Dion Phaneuf,FA,D,81,9,21,30,-6,100,156,2,4,12,1,0,132,156
Tom Pyatt,FA,C,82,9,14,23,9,16,95,1,0,0,0,2,46,89
Jamie McGinn,FA,LW,72,9,8,17,-23,23,116,2,0,2,0,0,116,18
Dwight King,FA,LW,80,9,7,16,-2,12,110,1,0,0,0,0,120,28
Jason Demers,FA,D,81,9,19,28,-14,53,98,2,0,5,0,2,106,90
Colton Sceviour,FA,RW,80,9,15,24,-16,25,172,1,1,2,3,1,108,64
John Carlson,WAS,D,72,9,28,37,7,10,180,3,3,13,0,1,58,127
Jake Gardiner,CAR,D,82,9,34,43,24,34,127,2,2,11,0,0,69,83
Steven Stamkos,TB,C,17,9,11,20,3,14,58,1,3,4,0,0,21,3
Alec Martinez,VGK,D,82,9,30,39,-17,24,144,3,2,13,1,0,137,167
Ryan White,FA,RW,65,9,7,16,-16,84,60,1,0,0,0,0,187,33
Max Domi,CHI,C,59,9,29,38,-9,40,108,1,1,7,0,0,28,21
Andrew Copp,DET,C,64,9,8,17,8,18,77,1,0,0,1,0,87,28
Anthony Beauvillier,NYI,LW,66,9,15,24,1,10,101,2,0,1,0,0,81,26
Kevin Labanc,SJ,RW,55,8,12,20,9,22,70,2,0,2,0,0,19,14
Pavel Zacha,BOS,C,70,8,16,24,-17,19,83,2,5,8,0,0,54,24
Miles Wood,NJ,LW,60,8,9,17,-21,86,105,0,2,2,0,0,68,26
Pavel Buchnevich,STL,LW,41,8,12,20,6,13,55,0,1,2,0,0,17,8
Michael Raffl,FA,LW,52,8,3,11,-7,20,63,3,0,0,0,0,91,22
Jacob Trouba,NYR,D,60,8,25,33,4,54,154,1,2,2,0,1,107,118
Torey Krug,STL,D,81,8,43,51,-10,37,208,1,6,19,0,0,59,82
Colton Sissons,NSH,RW,58,8,2,10,11,12,42,1,0,0,1,0,104,24
Dale Weise,FA,RW,64,8,7,15,1,39,94,2,1,1,0,0,135,24
Torrey Mitchell,FA,C,78,8,9,17,5,38,68,1,0,0,0,0,47,56
Shawn Matthias,FA,C,45,8,4,12,0,13,51,1,0,0,1,0,47,19
Darren Helm,COL,C,50,8,9,17,-6,20,98,1,2,2,0,1,71,18
Andrej Sekera,FA,D,80,8,27,35,14,18,128,1,1,10,1,0,55,166
Jannik Hansen,FA,RW,43,8,12,20,2,34,73,1,0,0,0,0,43,15
Patrick Sharp,FA,LW,48,8,10,18,-22,31,146,0,1,0,1,0,24,24
Kyle Brodziak,FA,C,69,8,7,15,2,27,55,2,0,0,0,0,56,39
Drew Stafford,FA,RW,58,8,13,21,6,24,109,3,3,1,0,0,62,3
Blake Comeau,FA,LW,77,8,12,20,-19,58,103,1,2,0,1,0,129,22
Lauri Korpikoski,FA,LW,69,8,12,20,5,10,108,0,0,0,0,1,37,36
Benoit Pouliot,FA,LW,67,8,6,14,-5,34,77,1,0,0,0,0,39,39
Casey Cizikas,NYI,C,59,8,17,25,9,30,82,1,0,1,0,0,144,58
Jeff Petry,PIT,D,80,8,20,28,3,22,172,1,2,5,0,0,171,145
Magnus Paajarvi,FA,LW,32,8,5,13,9,6,51,3,1,0,0,0,29,16
Tyler Pitlick,STL,C,31,8,3,11,0,6,54,1,0,0,0,0,70,13
Beau Bennett,FA,RW,65,8,11,19,-3,20,101,1,1,1,0,0,77,13
Oscar Lindberg,FA,C,65,8,12,20,2,32,86,1,0,1,0,0,94,36
Jordan Weal,FA,C,23,8,4,12,5,10,49,1,1,0,0,0,7,8
Brandon Pirri,FA,C,60,8,10,18,-8,25,96,3,5,4,0,0,41,20
