,,,,Overall,,,,,,,PP,,SH,,Defense,
Logan Cooley,UTA,C,75,25,40,65,1,46,158,2,7,13,0,0,63,32
Dylan Holloway,STL,C,77,26,37,63,21,10,178,8,6,7,0,0,165,50
Matvei Michkov,PHI,RW,80,26,37,63,-18,46,199,3,8,9,0,0,29,23
Macklin Celebrini,SJS,C,70,25,38,63,-31,28,236,4,8,14,0,0,37,53
Nikolaj Ehlers,CAR,LW,69,24,39,63,14,17,174,5,6,16,0,0,38,33
Nick Schmaltz,UTA,RW,82,20,43,63,-15,14,186,3,9,16,0,0,14,45
Ryan Donato,CHI,C,80,31,31,62,-15,41,182,3,5,9,0,0,104,18
Jonathan Huberdeau,CGY,LW,81,28,34,62,-13,34,153,6,10,13,3,1,50,64
Mika Zibanejad,NYR,C,82,20,42,62,-22,22,183,0,7,12,0,6,44,46
Josh Morrissey,WPG,D,80,14,48,62,17,22,172,2,3,19,0,0,49,113
Tomas Hertl,VGK,C,73,32,29,61,-3,20,177,3,14,9,0,0,99,56
Gabriel Vilardi,WPG,C,71,27,34,61,9,14,130,6,12,13,0,0,21,50
Jared McCann,SEA,LW,82,22,39,61,8,18,202,3,4,12,0,1,47,50
Adam Fox,NYR,D,74,10,51,61,9,32,135,2,1,17,1,2,40,108
Kevin Fiala,LAK,LW,81,35,25,60,-7,38,244,6,14,11,0,0,63,22
Dylan Guenther,UTA,RW,70,27,33,60,-4,26,204,9,12,17,0,0,53,42
Marco Rossi,MIN,C,82,24,36,60,3,26,136,3,7,9,0,0,62,41
Anthony Cirelli,TBL,C,80,27,32,59,30,28,160,2,3,2,4,3,25,72
Vincent Trocheck,NYR,C,82,26,33,59,0,44,202,7,5,7,6,1,214,78
Patrick Kane,DET,RW,72,21,38,59,-16,12,175,6,12,17,0,0,19,23
Matthew Knies,TOR,LW,78,29,29,58,7,43,152,6,5,10,0,1,182,41
William Eklund,SJS,LW,77,17,41,58,-7,29,151,2,6,10,1,2,54,46
Teuvo Teravainen,CHI,LW,82,15,43,58,-23,12,111,0,7,17,0,2,27,29
Morgan Geekie,BOS,C,77,33,24,57,3,22,150,4,4,5,0,0,110,29
Bo Horvat,NYI,C,81,28,29,57,-4,16,243,7,3,4,2,0,100,40
Connor McMichael,WSH,C,82,26,31,57,19,49,177,5,4,6,0,1,39,36
Kent Johnson,CBJ,C,68,24,33,57,2,16,123,4,4,11,1,2,3,29
Matthew Tkachuk,FLA,LW,52,22,35,57,-3,54,156,2,11,12,0,0,84,12
Pavel Buchnevich,STL,LW,76,20,37,57,10,23,145,3,2,10,0,2,44,32
Sean Monahan,CBJ,C,54,19,38,57,19,20,128,2,7,7,0,3,30,34
Jake Sanderson,OTT,D,80,11,46,57,-14,12,195,4,5,25,0,4,38,163
Shea Theodore,VGK,D,67,7,50,57,18,26,128,2,2,17,0,0,6,82
Brock Nelson,COL,C,80,26,30,56,8,18,193,7,3,4,3,0,35,43
Kirill Kaprizov,MIN,LW,41,25,31,56,19,16,145,5,4,10,0,0,16,17
Jonathan Marchessault,NSH,LW,78,21,35,56,-29,37,206,4,4,19,0,0,77,25
Brady Tkachuk,OTT,LW,72,29,26,55,0,123,296,5,14,9,0,0,228,33
Troy Terry,ANA,RW,77,21,34,55,0,20,188,4,4,7,0,0,7,29
Adam Fantilli,CBJ,C,82,31,23,54,4,18,191,3,2,2,1,1,113,56
Tyler Toffoli,SJS,RW,78,30,24,54,-21,14,233,1,6,9,0,0,54,32
Anders Lee,NYI,LW,82,29,25,54,3,35,233,3,5,4,0,0,121,39
Quinton Byfield,LAK,C,81,23,31,54,16,46,157,4,3,4,1,0,80,33
Mats Zuccarello,MIN,RW,69,19,35,54,0,22,151,6,3,13,0,0,32,48
Steven Stamkos,NSH,C,82,27,26,53,-36,48,174,6,14,7,0,0,66,46
Timo Meier,NJD,LW,80,26,27,53,7,58,239,5,7,6,0,0,141,65
Jason Zucker,BUF,LW,73,21,32,53,4,57,143,4,11,10,0,0,68,22
Ryan O'Reilly,NSH,C,79,21,32,53,-23,24,151,3,9,8,0,0,20,72
Carter Verhaeghe,FLA,C,81,20,33,53,-14,46,242,5,5,11,0,0,95,28
Ryan McLeod,BUF,C,79,20,33,53,13,16,97,2,0,2,3,3,17,35
Mikhail Sergachev,UTA,D,77,15,38,53,-8,32,132,3,3,20,1,0,61,140
Erik Karlsson,PIT,D,82,11,42,53,-24,20,191,1,2,13,0,0,29,94
Pavel Dorofeyev,VGK,LW,82,35,17,52,2,30,254,7,13,4,0,0,28,37
Mason McTavish,ANA,C,76,22,30,52,0,38,180,2,6,6,0,0,70,31
Sam Bennett,FLA,LW,76,25,26,51,-15,90,241,4,7,4,0,0,145,45
Ivan Barbashev,VGK,LW,70,23,28,51,26,10,111,3,2,1,0,0,104,33
Brad Marchand,FLA,LW,71,23,28,51,-7,64,194,5,5,8,0,1,81,34
Juraj Slafkovsky,MTL,LW,79,18,33,51,4,45,133,1,5,5,0,0,194,62
Chandler Stephenson,SEA,C,78,13,38,51,-9,24,73,1,1,17,2,0,33,50
John Carlson,WSH,D,79,5,46,51,17,22,167,0,1,13,0,0,49,131
Brock Boeser,VAN,RW,75,25,25,50,-25,16,145,3,9,11,0,0,76,34
Conor Garland,VAN,RW,81,19,31,50,-13,52,171,4,7,9,0,0,49,58
Brayden Schenn,STL,C,82,18,32,50,3,61,145,5,2,5,0,0,194,55
Cole Perfetti,WPG,LW,82,18,32,50,14,20,143,2,5,10,0,0,71,45
Evgeni Malkin,PIT,C,68,16,34,50,-24,42,125,3,4,12,0,0,32,48
Thomas Harley,DAL,D,78,16,34,50,32,16,171,3,1,14,0,0,33,110
Claude Giroux,OTT,C,81,15,35,50,-8,18,138,3,4,14,0,1,64,41
Jaden Schwartz,SEA,LW,81,26,23,49,-6,24,194,6,6,4,0,0,43,42
Ryan Nugent-Hopkins,EDM,C,78,20,29,49,4,24,164,5,7,13,2,0,26,48
Jamie Benn,DAL,C,80,16,33,49,3,70,136,4,1,9,0,0,114,45
Jake DeBrusk,VAN,LW,82,28,20,48,-15,18,171,4,14,5,0,0,96,48
Kyle Palmieri,NYI,RW,82,24,24,48,-17,20,169,2,5,4,0,1,54,48
Andrei Svechnikov,CAR,RW,72,20,28,48,-8,59,180,2,10,8,0,0,148,22
Matthew Coronato,CGY,LW,77,24,23,47,6,25,180,4,5,12,0,0,36,37
Dmitri Voronkov,CBJ,C,73,23,24,47,17,55,154,1,8,3,0,0,71,47
Mason Marchment,SEA,LW,62,22,25,47,15,53,134,4,5,5,0,0,79,21
Jakob Chychrun,WSH,D,74,20,27,47,17,52,179,6,5,10,0,0,59,87
Elias Lindholm,BOS,C,82,17,30,47,-4,14,152,3,2,12,1,2,114,79
Dylan Cozens,OTT,C,82,16,31,47,-17,68,188,2,5,7,0,0,205,45
Pavel Zacha,BOS,C,82,14,33,47,-8,21,132,5,2,5,2,1,63,26
MacKenzie Weegar,CGY,D,81,8,39,47,18,33,184,0,4,17,0,2,223,192
Pius Suter,STL,LW,81,25,21,46,2,18,138,3,2,3,1,1,59,43
Warren Foegele,LAK,LW,82,24,22,46,36,24,199,7,1,1,0,0,74,40
Tyler Bertuzzi,CHI,LW,82,23,23,46,-39,51,131,1,10,10,0,0,60,28
Jake Neighbours,STL,LW,82,22,24,46,0,56,122,3,6,6,0,0,173,56
Oliver Bjorkstrand,TBL,RW,79,21,25,46,2,18,154,2,5,7,0,0,74,26
Barrett Hayton,UTA,C,82,20,26,46,-6,45,155,7,7,8,0,0,31,44
Moritz Seider,DET,D,82,8,38,46,-5,40,162,0,4,20,0,0,212,181
Artturi Lehkonen,COL,LW,69,27,18,45,36,34,148,5,1,4,1,0,33,39
Frank Vatrano,ANA,LW,81,21,24,45,-9,80,234,1,3,2,1,0,169,69
Will Cuylle,NYR,LW,82,20,25,45,12,42,152,3,2,1,2,1,301,50
Simon Holmstrom,NYI,RW,75,20,25,45,5,8,96,3,2,4,1,3,27,55
Leo Carlsson,ANA,C,76,20,25,45,6,14,114,5,4,3,1,1,24,36
Will Smith,SJS,C,74,18,27,45,-15,18,127,1,5,7,0,0,13,16
Alexis Lafreniere,NYR,LW,82,17,28,45,-13,38,153,4,2,2,0,0,119,27
Anton Lundell,FLA,C,79,17,28,45,17,36,158,1,2,4,2,0,110,54
Elias Pettersson,VAN,C,64,15,30,45,-10,14,109,1,7,9,0,0,74,77
Sean Couturier,PHI,C,79,15,30,45,1,41,155,2,1,3,0,0,54,45
Thomas Chabot,OTT,D,80,9,36,45,17,24,179,1,1,7,0,0,58,145
Shayne Gostisbehere,CAR,D,70,7,38,45,1,52,122,0,4,23,0,0,41,66
Zach Hyman,EDM,RW,73,27,17,44,9,32,210,7,6,6,0,0,59,24
Cutter Gauthier,ANA,LW,82,20,24,44,8,20,190,3,2,4,0,0,68,51
Shane Wright,SEA,C,79,19,25,44,4,18,91,2,7,6,0,0,54,62
Kaapo Kakko,SEA,RW,79,14,30,44,-2,38,117,2,4,4,0,0,68,28
Devon Toews,COL,D,76,10,34,44,30,26,138,4,1,2,0,0,40,103
Luke Hughes,NJD,D,71,7,37,44,-9,16,121,1,0,16,0,0,19,60
Tyson Foerster,PHI,RW,81,25,18,43,-9,49,142,2,6,2,0,0,75,54
Owen Tippett,PHI,RW,77,20,23,43,-12,16,188,2,0,7,0,0,115,63
Matty Beniers,SEA,C,82,20,23,43,0,14,147,2,5,4,0,0,42,77
Jackson LaCombe,ANA,D,75,14,29,43,0,28,134,2,2,7,0,1,69,129
Phillip Danault,LAK,C,80,8,35,43,20,26,123,3,1,0,0,1,83,73
Alex Laferriere,LAK,RW,77,19,23,42,22,20,193,4,2,2,0,0,124,43
Taylor Hall,CAR,LW,77,18,24,42,-14,36,144,3,5,4,0,0,43,42
Jean-Gabriel Pageau,NYI,C,79,14,28,42,4,23,120,1,2,3,1,3,140,57
Nick Paul,TBL,LW,76,22,19,41,13,30,141,3,2,3,0,1,66,31
Stefan Noesen,NJD,C,78,22,19,41,-8,54,165,5,11,4,0,0,152,26
Fabian Zetterlund,OTT,LW,84,19,22,41,7,14,181,0,5,2,0,0,154,81
Brandon Montour,SEA,D,81,18,23,41,-22,70,231,4,5,6,0,0,84,100
Bobby Brink,PHI,RW,79,12,29,41,-11,22,105,2,2,2,0,0,98,30
Ryan Strome,ANA,C,82,10,31,41,-3,70,137,3,0,6,0,0,52,36
Morgan Rielly,TOR,D,82,7,34,41,-8,21,126,2,1,13,0,1,21,131
Brett Howden,VGK,C,80,23,17,40,17,46,125,4,0,0,1,0,121,56
Evgenii Dadonov,NJD,RW,80,20,20,40,1,10,123,2,5,2,0,0,44,39
Kiefer Sherwood,VAN,LW,78,19,21,40,-1,35,141,6,0,2,1,1,462,30
Trevor Moore,LAK,LW,71,18,22,40,17,14,153,2,1,2,1,0,71,29
Casey Mittelstadt,BOS,C,81,15,25,40,-29,24,105,3,3,10,0,0,30,33
Reilly Smith,VGK,RW,79,13,27,40,10,24,129,4,2,4,2,1,48,41
Dougie Hamilton,NJD,D,64,9,31,40,8,30,186,3,5,10,0,0,74,85
Cam Fowler,STL,D,68,9,31,40,12,14,88,1,2,6,0,0,8,87
Owen Power,BUF,D,79,7,33,40,-13,16,139,0,1,5,0,0,26,109
Jake Walman,EDM,D,65,7,33,40,4,42,164,1,0,8,0,1,57,145
Matt Grzelcyk,CHI,D,82,1,39,40,-6,16,94,0,0,15,0,0,43,101
Jack Roslovic,FA,RW,81,22,17,39,-10,10,139,2,1,1,0,0,14,23
Blake Coleman,CGY,C,82,15,24,39,-2,36,194,4,4,1,1,2,176,66
Jack Quinn,BUF,C,74,15,24,39,-18,18,123,3,3,10,0,0,39,23
Vince Dunn,SEA,D,62,11,28,39,-3,33,137,3,2,10,0,0,29,79
Neal Pionk,WPG,D,69,10,29,39,21,44,123,2,4,8,0,1,114,101
Noah Hanifin,VGK,D,80,10,29,39,8,14,145,2,2,8,0,0,43,106
Noah Dobson,MTL,D,71,10,29,39,-16,28,196,1,1,11,0,1,57,126
Brendan Gallagher,MTL,RW,82,21,17,38,-6,39,148,1,5,2,0,0,92,38
Michael Bunting,NSH,LW,76,19,19,38,-19,68,155,1,11,6,0,0,70,19
Logan Stankoven,CAR,C,78,14,24,38,-1,18,194,5,2,6,0,0,48,33
Vladislav Namestnikov,WPG,C,78,11,27,38,20,38,94,1,2,9,0,1,84,49
Roman Josi,NSH,D,53,9,29,38,-26,18,150,1,2,15,0,0,42,95
Bowen Byram,BUF,D,82,7,31,38,11,46,94,2,0,2,0,1,75,117
Shane Pinto,OTT,C,70,21,16,37,10,26,127,5,1,1,3,2,73,56
Alex Killorn,ANA,C,82,19,18,37,12,30,134,5,0,3,1,1,77,23
Marco Kasper,DET,C,77,19,18,37,1,34,145,3,2,2,0,0,156,48
Frederick Gaudreau,SEA,C,82,18,19,37,-2,8,110,2,5,0,0,0,47,61
Nino Niederreiter,WPG,RW,82,17,20,37,16,24,150,3,4,7,0,0,152,39
Noah Cates,PHI,LW,78,16,21,37,3,14,110,2,1,2,0,0,87,54
Morgan Frost,CGY,C,81,14,23,37,-17,22,144,2,2,13,0,0,69,60
Jonathan Drouin,NYI,C,43,11,26,37,4,6,56,2,3,9,0,0,14,12
Andrei Kuzmenko,LAK,LW,66,11,26,37,-6,14,83,4,4,9,0,0,19,22
Andre Burakovsky,CHI,LW,79,10,27,37,-3,12,115,1,0,8,0,0,33,27
Darren Raddysh,TBL,D,73,6,31,37,9,14,108,0,2,7,0,0,38,68
Dawson Mercer,NJD,C,82,19,17,36,4,16,141,3,6,2,1,0,41,60
Zachary Bolduc,MTL,C,72,19,17,36,20,37,120,0,7,5,0,0,108,36
Colton Parayko,STL,D,64,16,20,36,12,8,125,4,1,0,1,1,92,149
James van Riemsdyk,DET,LW,71,16,20,36,-4,23,85,2,1,1,0,0,31,16
Jordan Martinook,CAR,LW,79,15,21,36,16,18,112,3,0,0,0,1,84,52
Jordan Staal,CAR,C,75,13,23,36,15,16,107,3,0,0,2,0,138,43
Jake Evans,MTL,LW,82,13,23,36,1,10,80,5,0,0,3,3,124,60
Seth Jones,FLA,D,63,9,27,36,-24,22,129,2,5,14,0,0,96,109
Eeli Tolvanen,SEA,LW,81,23,12,35,3,23,137,3,2,3,0,0,237,65
Josh Norris,BUF,C,56,21,14,35,-6,44,96,5,6,5,3,1,135,47
Charlie Coyle,CBJ,C,83,17,18,35,-9,24,115,3,3,4,1,0,108,61
Nick Foligno,CHI,LW,78,15,20,35,-17,48,104,1,2,2,2,0,200,34
Alexander Wennberg,SJS,C,77,10,25,35,-21,14,82,2,3,7,0,0,30,80
Maxim Tsyplakov,NYI,RW,77,10,25,35,4,39,116,1,1,2,0,0,140,40
Valeri Nichushkin,COL,LW,43,21,13,34,11,8,118,0,5,3,0,0,55,21
Bobby McMann,TOR,C,74,20,14,34,12,27,169,5,3,3,0,0,136,23
Ilya Mikheyev,CHI,RW,80,20,14,34,4,16,138,3,0,0,3,0,34,15
Jackson Blake,CAR,RW,80,17,17,34,10,30,142,6,5,2,0,0,19,30
Adam Lowry,WPG,C,73,16,18,34,18,28,99,4,0,0,0,2,140,60
Ridly Greig,OTT,C,78,13,21,34,-11,60,119,2,3,6,2,2,138,47
Marcus Johansson,MIN,LW,72,11,23,34,-7,12,121,1,1,5,1,0,49,25
Patrik Laine,MTL,RW,52,20,13,33,-14,14,116,5,15,4,0,0,26,28
Christian Dvorak,PHI,C,82,12,21,33,-5,16,104,0,1,1,0,0,44,74
Jesperi Kotkaniemi,CAR,LW,78,12,21,33,9,50,115,1,0,1,0,0,66,28
Cole Sillinger,CBJ,C,66,11,22,33,-11,35,129,2,2,1,1,1,74,36
Vladimir Tarasenko,MIN,RW,80,11,22,33,-13,6,133,1,1,7,0,0,63,35
Brady Skjei,NSH,D,82,10,23,33,-24,42,156,1,2,8,0,0,52,93
Mattias Ekholm,EDM,D,65,9,24,33,11,30,143,1,3,4,0,0,42,95
Max Domi,TOR,C,74,8,25,33,5,76,93,1,0,7,0,0,32,30
Ivan Provorov,CBJ,D,82,7,26,33,11,31,100,0,1,2,1,2,28,127
Mason Lohrei,BOS,D,77,5,28,33,-43,16,92,0,1,15,0,0,25,103
Darnell Nurse,EDM,D,76,5,28,33,11,72,188,1,0,2,1,0,161,136
Brandt Clarke,LAK,D,78,5,28,33,13,46,131,0,2,7,0,0,23,121
Filip Hronek,VAN,D,61,5,28,33,0,40,83,0,0,7,0,0,89,75
Alex Pietrangelo,VGK,D,71,4,29,33,11,16,123,1,0,2,0,2,41,139
Aaron Ekblad,FLA,D,56,3,30,33,11,53,106,2,0,11,0,2,90,64
Mathieu Olivier,CBJ,RW,82,18,14,32,-4,139,111,5,0,0,1,1,306,80
Yegor Sharangovich,CGY,LW,73,17,15,32,-9,8,128,2,5,3,1,0,14,31
Mikael Backlund,CGY,C,76,15,17,32,4,32,175,3,1,5,1,0,41,51
Evan Rodrigues,FLA,C,82,15,17,32,-4,38,161,1,4,3,0,0,128,23
Eric Robinson,CAR,LW,82,14,18,32,14,10,110,1,0,0,0,0,123,16
Trevor Zegras,PHI,C,57,12,20,32,-8,23,98,1,1,3,0,0,50,27
J.T. Compher,DET,C,76,11,21,32,-7,24,98,3,5,4,0,0,29,64
Luke Evangelista,NSH,RW,68,10,22,32,-2,22,134,1,1,4,0,0,28,13
Jared Spurgeon,MIN,D,66,7,25,32,8,14,107,3,1,8,0,0,53,119
Justin Faulk,STL,D,78,4,28,32,-9,30,124,1,1,11,0,0,82,108
Mackie Samoskevich,FLA,C,72,15,16,31,-4,12,129,5,4,7,0,0,134,32
Alex Iafallo,WPG,C,82,15,16,31,21,15,109,2,6,4,0,0,53,61
Nicolas Roy,TOR,C,71,15,16,31,-4,43,107,3,2,2,0,0,72,47
Scott Laughton,TOR,C,80,13,18,31,-18,32,125,2,0,0,1,1,178,54
Ryan Poehling,ANA,C,68,12,19,31,-4,16,71,1,2,1,0,1,26,79
Rasmus Andersson,CGY,D,81,11,20,31,-38,60,163,1,3,6,0,0,36,196
Gustav Forsling,FLA,D,80,11,20,31,33,16,195,1,0,1,1,1,83,89
Simon Edvinsson,DET,D,78,7,24,31,12,67,86,3,0,0,0,1,86,144
Yanni Gourde,TBL,LW,57,7,24,31,-1,52,75,2,0,1,0,0,109,36
Mike Matheson,MTL,D,80,6,25,31,-6,51,149,1,1,9,0,1,60,168
Ryan McDonagh,TBL,D,82,4,27,31,43,22,78,2,0,1,1,2,23,152
Chris Kreider,ANA,LW,68,22,8,30,-5,24,152,6,6,1,4,0,79,26
Corey Perry,LAK,RW,81,19,11,30,12,61,100,4,4,3,0,0,36,26
Connor Brown,NJD,RW,82,13,17,30,9,10,123,4,0,0,1,1,19,37
Brandon Saad,VGK,LW,72,13,17,30,-8,6,127,1,0,3,0,0,12,21
Keegan Kolesar,VGK,RW,82,12,18,30,3,53,88,3,0,0,0,1,237,49
Kris Letang,PIT,D,74,9,21,30,-15,52,164,0,4,8,1,0,120,100
Travis Sanheim,PHI,D,82,8,22,30,-6,40,139,0,0,2,0,2,84,170
Vladislav Gavrikov,NYR,D,82,5,25,30,26,28,112,0,0,0,0,1,50,140
Rasmus Sandin,WSH,D,82,4,26,30,13,23,78,0,1,4,0,0,91,122
Alex Vlasic,CHI,D,82,4,26,30,-23,12,103,0,1,11,0,1,59,157
Jeff Skinner,SJS,LW,72,16,13,29,1,26,144,1,0,2,0,0,45,23
Ross Colton,COL,LW,61,16,13,29,-1,18,125,3,5,2,0,0,145,42
Victor Olofsson,COL,LW,56,15,14,29,17,16,109,4,6,2,0,0,26,19
Marcus Foligno,MIN,LW,77,14,15,29,7,75,91,1,0,0,0,0,253,49
Joel Eriksson Ek,MIN,C,46,14,15,29,9,22,140,1,5,5,0,0,82,36
Joel Armia,LAK,RW,81,11,18,29,-2,16,104,1,0,3,3,0,87,35
Brock Faber,MIN,D,78,10,19,29,-2,23,124,1,2,8,0,1,36,115
William Karlsson,VGK,C,53,9,20,29,17,4,119,4,0,6,2,0,20,37
Danton Heinen,PIT,LW,79,9,20,29,2,31,81,0,1,1,1,0,81,37
Philip Broberg,STL,D,68,8,21,29,21,16,97,2,0,2,0,0,43,103
Michael Kesselring,BUF,D,82,7,22,29,4,89,150,1,1,2,0,0,87,67
Brent Burns,COL,D,82,6,23,29,7,28,174,0,0,3,0,0,11,98
Oliver Ekman-Larsson,TOR,D,77,4,25,29,14,52,118,1,2,2,0,0,108,83
Marcus Pettersson,VAN,D,78,4,25,29,6,45,70,1,0,0,0,1,80,144
Ondrej Palat,NJD,LW,77,15,13,28,-5,12,96,3,2,2,1,0,124,58
Kevin Stenlund,UTA,C,82,14,14,28,-6,40,102,1,0,0,1,0,50,64
Andrew Mangiapane,EDM,LW,81,14,14,28,0,24,95,3,0,4,1,0,74,30
Gustav Nyquist,WPG,RW,79,11,17,28,-24,16,103,0,2,1,1,1,44,30
Alex Kerfoot,UTA,C,81,11,17,28,-5,14,101,1,0,1,2,0,59,67
Zach Benson,BUF,LW,75,10,18,28,-2,60,120,0,3,1,0,0,35,29
Peyton Krebs,BUF,C,81,10,18,28,1,60,80,0,1,0,1,0,136,32
Adam Larsson,SEA,D,82,7,21,28,22,31,112,1,0,0,0,0,104,148
Dmitry Orlov,SJS,D,76,6,22,28,16,24,117,2,0,1,0,0,101,60
Jordan Spence,OTT,D,79,4,24,28,23,16,86,0,0,5,0,0,80,77
Viktor Arvidsson,BOS,LW,67,15,12,27,-3,24,158,2,1,2,0,0,32,23
Josh Anderson,MTL,RW,81,15,12,27,-2,90,109,1,0,0,1,0,176,39
Nic Dowd,WSH,C,82,14,13,27,7,56,86,3,0,0,2,0,128,82
Connor Zary,CGY,C,54,13,14,27,-7,14,111,2,1,8,0,0,26,26
