
"1. Nathan MacKinnon, Col (C1)"
"237. Mattias Ekholm, Edm (D50)"
"238. Tyler Bertuzzi, Chi (LW49)"
"239. Alex Vlasic, Chi (D51)"
"240. Jackson Blake, Car (RW36)"
"241. Thomas Chabot, Ott (D52)"
"242. Michael Bunting, Nsh (LW50)"
"243. Connor McMichael, Wsh (C75)"
"244. Matty Beniers, Sea (C76)"
"245. Claude Giroux, Ott (C77)"
"246. Travis Sanheim, Phi (D53)"
"247. Luke Hughes, NJ (D54)"
"248. Shayne Gostisbehere, Car (D55)"
"249. Taylor Hall, Car (LW51)"
"250. Andrei Kuzmenko, LA (LW52)"
